Original_Keywords,Mapped_Terms,Scores
"Humanitarian aid
Historical perspectives
Improving humanitarian responses
Disasters special issue
History of humanitarian action
Nineteenth-century to present day
Value of history
Habitual ways of thinking
Investigation and interpretation skills
Critical questioning
Humanitarian practitioners
Policymakers
Reflective attitude to change
Holistic approach to innovation","Food Assistance
Historical Article
Emergency Responders
Disasters
Vietnam Conflict
History, 17th Century
Program Development
Thinking
Rationalization
Examination Questions
Allied Health Personnel
Pentanes
Attitude
Organizational Innovation","0.7174
0.7217
0.5448
0.8389
0.5713
0.7580
0.7181
0.5377
0.5305
0.5474
0.6441
0.7010
0.6064
0.6633"
"Ion channels
Membrane-spanning proteins
Biophysical processes
Electrical signals
Action potentials
Neuronal communication
Heart beat coordination
Insulin secretion
Immune response
Drug targets
Inherited ion channel dysfunction
Acquired ion channel dysfunction
Disease causes","Ion Channel Gating
Membrane Proteins
Biophysical Processes
Electronics
Evoked Potentials
Neurons
Heart Block
Insulin
Immunotherapy
Drug Evaluation
Potassium Ionophores
Air Ionization
Disease","0.7442
0.7891
0.7984
0.7776
0.6899
0.8032
0.6184
0.8296
0.8200
0.8078
0.5581
0.5686
0.7943"
"Adult development
Psychotherapist
Psychotherapy work
First person narratives
Empirical report
Senior therapists
Challenges
Demands
Rewards
Fulfilling
Meaningful
Wiser therapist
Effective therapist
Personal experience
Professional experience","Adult
Psychotherapy, Group
Psychotherapy, Group
Personal Narratives
Empirical Research
Physical Therapist Assistants
Patient Rights
Ligands
Reward
Filing
Meaningful Use
Physical Therapists
Physical Therapist Assistants
Personal Construct Theory
Professionalism","0.8128
0.8664
0.9124
0.6403
0.7471
0.6942
0.7354
0.7459
0.9565
0.7429
0.7242
0.6413
0.6901
0.5969
0.6450"
"Farmworker
Housing quality
Health
Transdisciplinary conference
Research
Practice
Knowledge consolidation
Housing characteristics
Quality assessment
Health and safety
Policy development
Working groups
Implementation
Education
Engineering projects","Farmers
Housing
Health
Interdisciplinary Communication
Research
Professional Practice
Knowledge
Housing
Quality Improvement
Safety
Plant Development
Raw Foods
Machine Learning
Education
Engineering","0.7737
0.7972
1.0000
0.7740
1.0000
0.8162
0.8030
0.8592
0.6645
0.7432
0.8245
0.8853
0.6567
1.0000
0.8247"
"Pediatric heart failure
International summit
Johns Hopkins All Children's Heart Institute
Acute hospitalization
Cardiology research
Multi-disciplinary collaboration
Andrews/Daicoff Cardiovascular Program Endowment
Morsani College of Medicine at the University of South Florida
Paediatric heart failure treatment
Clinical and scientific disciplines
Think-tank approach
Proceedings of the 2015 International Pediatric Heart Failure Summit
Cardiovascular surgery research
George R. Daicoff, MD
Sarainne Andrews","Heart Failure
International Agencies
National Heart, Lung, and Blood Institute (U.S.)
Hospitalization
Cardiology
Interdisciplinary Studies
Fund Raising
Institute of Medicine (U.S.)
Heart Failure, Systolic
Social Sciences
Tilt-Table Test
Committee Membership
Cardiovascular Surgical Procedures
DiGeorge Syndrome
Swallows","0.6410
0.6621
0.5700
0.8154
0.7512
0.7076
0.5690
0.5382
0.6176
0.6564
0.5195
0.4813
0.7390
0.5243
0.5999"
"Feedback interventions
Psychotherapy research
Treatment outcomes
Patient risk
Moderators and mediators
Routine care implementation
Therapist attitudes
Patient attitudes
Feedback systems
Feedback reports
Decision support tools
Treatment failure reasons
Therapist interventions
Future endeavors","Feedback, Psychological
Psychotherapy, Group
Program Development
Risk Management
Inflammation Mediators
Practice Management
Attitude to Health
Patient Preference
Feedback
Feedback
Decision Support Techniques
Treatment Failure
Physical Therapists
Achievement","0.7621
0.9049
0.8269
0.8464
0.6454
0.7101
0.6229
0.6559
0.7015
0.8169
0.8335
0.7214
0.7445
0.6514"
"Dissemination
Evidence-based interventions
Social science
Program scaling
Sustainability
Intervention implementation
Service providers
Challenges
Supports
Awareness","Insemination
Evidence-Based Practice
Social Sciences
Touch
Maintenance
Inventions
Postal Service
Patient Rights
Williopsis
Awareness","0.7932
0.7416
0.8504
0.5256
0.5889
0.7253
0.6668
0.7354
0.6645
1.0000"
"Feminism
Psychology
Gender
Sexuality
Psy-disciplines
Histories
Trajectories
Conjoined
Tensions
Interventions
Methodologies
Populations
Epistemology
Common cause","Feminism
Psychology
Women
Sexuality
Piromyces
Social Theory
Trauma Centers
Twins, Conjoined
Tsuga
Inventions
Methods
Vulnerable Populations
Meristem
Root Cause Analysis","1.0000
1.0000
0.9856
1.0000
0.6141
0.6882
0.6547
0.7925
0.6962
0.9193
0.7362
0.7068
0.6519
0.5999"
"Pragmatic clinical trials
Ethical issues
Regulatory challenges
High-quality evidence
Health decision making
Information and communication technologies
Novel techniques
Cost-effective research methods
Clinical practice
Decision informing
National Institutes of Health
Patient-Centered Clinical Research Network (PCORnet)
Regulatory oversight
Ethical considerations
Real-world choices","Pragmatic Clinical Trial
Ethology
Assertiveness
Evidence-Based Medicine
Primary Health Care
Information Theory
Replica Techniques
Costs and Cost Analysis
Professional Practice
Decision Trees
National Institutes of Health (U.S.)
Patient-Centered Care
Government Regulation
Ethical Analysis
Clinical Decision-Making","0.9133
0.7926
0.5667
0.7095
0.6527
0.6823
0.5815
0.6778
0.8545
0.7095
0.8606
0.5191
0.6183
0.7839
0.5670"
"Exposome
Mathematics
Biology
Exposomics
Proof-of-principle
Epigenome-wide methylation studies
Smoking
Carcinogenesis
Stem cells
Evolutionary theory
Breakthroughs","Exome
Mathematics
Biology
Physical Exertion
Ethical Theory
Epigenomics
Smoking
Carcinogenesis
Stem Cells
Ethical Theory
Printers' Marks","0.7228
1.0000
1.0000
0.6431
0.6097
0.5652
1.0000
1.0000
0.9189
0.7960
0.5873"
"OMICS
Plant disease resistance
Genetic improvement
Crop resistance
Next-generation sequencing
Mass spectrometry
Genomics
Transcriptomics
Proteomics
Metabolomics
Agricultural research","Collections
Disease Resistance
Genetic Counseling
Crop Protection
High-Throughput Nucleotide Sequencing
Tandem Mass Spectrometry
Genomics
Transcription Factors
Proteomics
Metabolomics
Agriculture","0.6066
0.6228
0.6398
0.6359
0.6345
0.6397
1.0000
0.7212
1.0000
1.0000
0.6767"
"Endometriosis
Management
Problem-oriented approach
Patient-centered care
Deep endometriosis
Infertility
Pelvic pain
Quality of life
Pregnancy
Delivery
Post-partum period
Conservative surgery
Recurrence prevention
Ovarian cancer risk
Screening program
Treatment of symptoms
Shared decision-making
Counseling","Endometriosis
Management Audit
Problem Solving
Patient-Centered Care
Endometriosis
Infertility
Pelvic Pain
Quality of Life
Pregnancy
Live Birth
Postpartum Period
Prophylactic Surgical Procedures
Recurrence
Ovarian Diseases
Mass Screening
Signs and Symptoms
Clinical Decision-Making
Counseling","1.0000
0.6125
0.6401
0.8378
0.5671
1.0000
0.9726
0.9669
1.0000
0.7959
0.8975
0.5854
0.9111
0.6594
0.7212
0.6043
0.7660
1.0000"
"Non-neuronal cholinergic system
Biological significance
Medical significance
MiRNAs
Molecular mechanisms
Cholinergic cellular signaling circuitries
Cancer
Wound healing
Immunity and inflammation
Cardiovascular diseases
Respiratory diseases
Clinical implications","Cholinergic Neurons
Biological Ontologies
Population
MicroRNAs
Models, Molecular
Receptors, Cholinergic
Acer
Wound Healing
Immunity
Cardiovascular Diseases
Respiratory System
Patients","0.7715
0.7214
0.7083
0.8762
0.6340
0.6873
0.7297
0.9271
0.7724
0.9181
0.7208
0.6843"
"Autism Spectrum Disorder
Occupational Therapy
Families
Research
Clinical Practice
Advocacy
Consumer Education
Needs
Services
Awareness","Autistic Disorder
Occupational Therapy
Family Health
Research
Professional Practice
Patient Advocacy
Health Policy
Seeds
Paint
Awareness","0.9109
1.0000
0.7644
1.0000
0.8958
0.8357
0.8074
0.7870
0.8284
1.0000"
"Humanities
Sciences
History
Separate cultures
Epistemic objects
Virtues
Values
Methods
Practices
Shared aspects
Interdisciplinary study","Humanities
Social Sciences
History
Sepia
Eponyms
Virtues
Trust
Methods
Percussion
Collections
Interdisciplinary Communication","1.0000
0.6741
1.0000
0.6386
0.5702
1.0000
0.6761
1.0000
0.6756
0.6058
0.9084"
"Prediction
Attention
Perception
Action
Brain functions
Neural models
Sensory information
Action-related information
Information flow
Interactions
Emerging field
Functional principles","Food Safety
Attention
Perception
London
Brain
Neural Inhibition
Sensory Aids
Access to Information
Review
Interprofessional Relations
Electromagnetic Fields
Social Theory","0.9735
1.0000
1.0000
0.6977
0.8296
0.6547
0.7392
0.5661
0.5501
0.6832
0.6177
0.6588"
"Cognitive Diversity
Anthropological Perspectives
Cognition
Cross-Cultural Research
Synergies
Rapprochement
Anthropology
Cognitive Sciences
Existence Proof","Cognitive Dissonance
Anthropology
Cognition
Cross-Cultural Comparison
Drug Synergism
Rage
Anthropology
Cognitive Science
Ethical Theory","0.7728
0.8399
1.0000
0.8117
0.6166
0.6041
1.0000
0.9272
0.6313"
"Heterogeneity
Treatment response
First-episode schizophrenia
Biomarker development
Neuroimaging
Neurocognitive measures
Genetic measures
Clinical response
Interventions
Psychotic illness
Comorbidity
Predictive models
Treatment targets
Effective intervention strategies","Genetic Heterogeneity
Treatment Failure
Schizophrenia, Disorganized
Biomarkers
Neuroimaging
Cognitive Neuroscience
Genetic Services
Response Elements
Inventions
Psychotic Disorders
Comorbidity
Predatory Behavior
Treatment Failure
Inventions","0.7494
0.9035
0.6939
0.6909
1.0000
0.7942
0.7361
0.6725
0.9193
0.8045
1.0000
0.5636
0.7990
0.7049"
"Rare pulmonary diseases
Orphan drugs
Diagnosis
Management
Interstitial lung disease
Pulmonary hypertension
Economic impact
Social impact
Public health
Medical community
Limited experience
Uncommon diseases","Pulmonary Disease, Chronic Obstructive
Psychotropic Drugs
Diagnosis
Management Audit
Lung Diseases, Interstitial
Hypertension, Pulmonary
Economics
Health Impact Assessment
Public Health Practice
Academic Medical Centers
Marriage
Rare Diseases","0.7269
0.7606
1.0000
0.6125
0.7148
0.7881
0.7316
0.8356
0.8927
0.6747
0.5270
0.8159"
"Skin as a target organ
Multisystemic diseases
Systemic involvement
Lichen planus
Autoinflammatory syndromes
Pyoderma gangrenosum
Scleroderma
Lyme disease
Herpes simplex
Mycosis fungoides","Skin Transplantation
Brain Diseases, Metabolic
Systemic Vasculitis
Lichen Planus
Autoimmune Diseases
Pyoderma Gangrenosum
Scleroderma, Limited
Lyme Disease
Herpes Simplex
Mycosis Fungoides","0.5735
0.5495
0.5515
0.9316
0.8179
0.9591
0.9226
0.9638
0.9093
0.8974"
"Monogamy
Primates
Variability
Trends
Synthesis
Introduction
Special issue
Social characteristics
Genetic monogamy
Social structures
Mating patterns
Breeding systems
Definitions
Wild primates
Captive studies","Monosomy
Primates
Genetic Variation
Patient Rights
Photosynthesis
Comment
Patient Rights
Social Environment
Genetic Heterogeneity
Group Structure
Central Pattern Generators
Breeding
Dictionary
Animals, Wild
Sampling Studies","0.5808
1.0000
0.7209
0.6616
0.7338
0.7569
0.6630
0.7443
0.6856
0.7615
0.5668
0.7138
0.8531
0.6350
0.6097"
"Digestive tract cancers
Surgery complications
Postoperative care
Nutritional support
Peri-operative nutrition
Malnutrition screening
Treatment plan
Good clinical practices guide","Digestive System Diseases
Surgery, Oral
Postoperative Care
Nutritional Support
Perioperative Care
Malnutrition
Treatment Failure
Practice Guideline","0.7585
0.7370
0.9794
0.9525
0.7929
0.8800
0.7688
0.7160"
"Orchidaceae
Conservation
Interactions
Mycorrhizal fungi
Pollinators
Host trees
Challenges
Factors
Papers
Orchids","Orchidaceae
Blood Preservation
Interprofessional Relations
Mycorrhizae
Pollination
Tea Tree Oil
Patient Rights
R Factors
Printing
Choroid","1.0000
0.7182
0.6832
0.6489
0.7302
0.6275
0.7354
0.6241
0.7129
0.6313"
"Uric acid
Cardiovascular risk
Consensus meeting
University Magna Graecia
Catanzaro, Italy
May 2014
International Journal of Cardiology
Special issue
Cardiovascular disorders
Uric acid role","Uric Acid
Risk Factors
Consensus Development Conference
Laurencia
Tanzania
Letter
Cardiologists
Patient Rights
Cardiovascular Diseases
Uric Acid","0.9712
0.7358
0.8583
0.5162
0.5449
0.6958
0.6919
0.6630
0.9142
0.8960"
"Hypnosis
Lecture
Jay Haley
Gregory Bateson
Milton Erickson
Trance induction
Multiple personalities
Regression to past lives
False memories
History of hypnosis","Hypnosis
Lectures
Hockey
Grounded Theory
Ephemera
Airway Extubation
Personality
Regression Analysis
Memory Consolidation
Hypnosis","1.0000
0.8917
0.6500
0.4825
0.5969
0.5623
0.7207
0.5932
0.6095
0.8301"
"Autohypnosis
Trance Dance
Bali
Gregory Bateson
Margaret Mead
Jay Haley
Madeleine Haley
Historical importance
Culture
Society
Emotion regulation
Violence regulation","Hypnosis
Dance Therapy
Mali
Grounded Theory
Mars
Hockey
Alexia, Pure
Historical Article
Culture
Societies
Expressed Emotion
Violence","0.5745
0.6145
0.7710
0.4825
0.5176
0.6500
0.5595
0.7435
1.0000
0.7601
0.8067
0.6342"
"Dissociative disorders
Multiple personality
Supervision
Therapist training
Case study
Jay Haley
Treatment techniques
Complexity
Early literature
Supervision style","Dissociative Disorders
Multiple Personality Disorder
Radiosurgery
Physical Therapists
Data Collection
Hockey
Treatment Failure
Private Practice
Literature, Modern
Photosynthesis","0.9670
0.6817
0.5770
0.7973
0.9697
0.6500
0.7618
0.6520
0.8480
0.5638"
"Interactional explanation
Hypnosis
Communication
Relationship
Trance
Therapist-patient dynamics
Gregory Bateson
John Weakland
Don Jackson
Bill Fry
Subjective experience","Interoception
Hypnosis
Communication
Ships
Dance Therapy
Physical Therapists
Grounded Theory
Yaws
Blood Donors
Catfishes
Perception","0.5585
1.0000
1.0000
0.7272
0.8026
0.6431
0.4825
0.5738
0.5886
0.5846
0.5830"
"Hypnosis
Schizophrenia
Communication
Psychological disorder
Biological disorder
Jay Haley
John Weakland
Milton Erickson
Intellect
Argument
Schizophrenia research
Conversation
Transcript","Hypnosis
Schizophrenia
Communication
Psychotic Disorders
Civil Disorders
Hockey
Yaws
Ephemera
Plectin
Chicago
Schizophrenic Psychology
Communication
Transcription Factors","1.0000
1.0000
1.0000
0.8922
0.6730
0.6500
0.5738
0.5969
0.5992
0.9085
0.7860
0.7083
0.6789"
"Hypnosis
Milton Erickson
Jay Haley
Trance state
Flexibility
Trance induction
Resistant subjects
Therapy
Clinicians
Therapeutic relationship
Communication","Hypnosis
Ephemera
Hockey
Persistent Vegetative State
Food Supply
Airway Extubation
Survival Rate
Therapeutics
Physicians
Interpersonal Relations
Communication","1.0000
0.5969
0.6500
0.5692
0.6210
0.5623
0.7031
0.7562
0.7705
0.6592
1.0000"
"Oncology nursing
Research issue
Oncology Nursing Forum
Oncology Nursing Society
Featured columns
Research reports
Special issue
Cancer care
Evidence-based practice
Advancements in oncology nursing","Oncology Nursing
Research
Oncology Nursing
Oncology Nursing
Intermediate Filaments
Research Report
Patient Rights
Cancer Care Facilities
Evidence-Based Practice
Oncology Nursing","0.9441
0.7146
0.8720
0.8872
0.5087
0.8655
0.6630
0.7887
0.9206
0.7337"
"Multimodality
Early sensory processing
Visual maps
Flexible encoding
Multisensory space
Sensory organs
Cortical areas
Unisensory areas
Associative areas
Plasticity
Critical period
Functional network
Brain areas
Input statistics
Behavioral goals","Multimodal Imaging
Sensory System Agents
Popular Works
Conserved Sequence
Sensory System Agents
Sensory System Agents
Motor Cortex
Sensory System Agents
Interpersonal Relations
Plasticizers
Critical Period (Psychology)
Gene Regulatory Networks
Brain
Statistics
Behavior Therapy","0.7001
0.6143
0.6463
0.5630
0.6179
0.7116
0.7102
0.5948
0.6605
0.6568
0.5746
0.6446
0.8201
0.7342
0.8119"
"Polyphenols
Plant secondary metabolites
Organoleptic properties
Nutritional properties
Practical applications
International Conference on Polyphenols
Tannin Conference
Chemistry
Physicochemistry
Materials science
Biosynthesis
Genetics
Metabolic engineering
Plant-environment interactions
Nutrition and health
Natural medicine","Polyphenols
Plant Proteins
Organoids
Nutritional Sciences
Mobile Applications
Polyphenols
Tannins
Chemistry
Physicochemical Processes
Social Sciences
Biosynthetic Pathways
Genetics
Metabolic Engineering
Plant Physiological Phenomena
Nutrition Assessment
Medicine, Traditional","1.0000
0.5465
0.6213
0.8448
0.6115
0.7464
0.6695
1.0000
0.7590
0.7883
0.7342
1.0000
0.9197
0.6742
0.8202
0.6667"
"Editorial
Psychiatry
Mental health
National Mental Health Protection Programme
Criminal law amendment
Treatment measures
Psychiatric institutions
Conflict
Politicians
Lawyers
Mentally ill
Social attitude
Tragic events
Responsibility
Image of psychiatry and psychiatrists","Editorial
Psychiatry
Mental Health
Community Mental Health Services
Criminal Law
Treatment Failure
Hospitals, Psychiatric
Conflict of Interest
Politics
Lawyers
Mentally Ill Persons
Attitude
Hemorrhagic Disorders
Response Elements
Psychiatric Department, Hospital","1.0000
1.0000
0.9339
0.7441
0.7739
0.6794
0.7549
0.6733
0.8629
1.0000
0.7260
0.6991
0.6040
0.7056
0.6066"
"Neuroimaging
Neuropsychology
Special issue
Neuropsychology Review
Structural neuroimaging
Functional neuroimaging
Advances
Human brain
Cognitive processes
Brain imaging techniques
Applications in neuropsychology
Diagnostic tools
Neurocognitive assessment
Research developments","Neuroimaging
Neuropsychology
Patient Rights
Neuropsychology
Functional Neuroimaging
Functional Neuroimaging
Archives
Water Resources
Cognitive Reserve
Brain Mapping
Cognitive Neuroscience
Diagnostic Services
Cognitive Neuroscience
Students","1.0000
1.0000
0.6630
0.8697
0.8599
0.9689
0.5345
0.9767
0.7586
0.6712
0.6413
0.7274
0.8135
0.6910"
"Synesthesia
Cognitive neuroscience
Special issue
Models
Neural mechanisms
New types
Demographic characteristics
Cognitive profile","Hypesthesia
Cognitive Neuroscience
Patient Rights
Elements
Neural Pathways
Antigens
Sex Characteristics
Cognitive Reserve","0.7997
0.9788
0.6630
0.7641
0.7291
0.5183
0.6557
0.7793"
"Ostracism
Research
Sources
Individuals
Feelings
Ostracizing
Special issue
Journal of Social Psychology
Experimental studies
Methods
Understudied aspect
Common phenomenon","Astronauts
Research
Elements
Individuality
Eels
Olfactometry
Patient Rights
Environmental Psychology
Water Quality
Methods
Literature, Modern
Cross Protection","0.6080
1.0000
0.7226
0.7362
0.6668
0.5684
0.6630
0.7195
0.9710
1.0000
0.5333
0.6087"
"Lesbians
Children's literature
Young adult literature
Homosexuality
Scholarly conversations
Intellectual discussions
Special issue
Journal of Lesbian Studies","Landslides
Juvenile Literature
Literature, Modern
Homosexuality
Socialization
Wedge Argument
Patient Rights
Women's Rights","0.6181
0.7365
0.7070
1.0000
0.5434
0.6008
0.6630
0.5113"
"Mindfulness
Cultural context
Psychotherapeutic intervention
Buddhism
Meditation techniques
Positive mental health
Adaptation
Suffering
Ethical dimensions
Moral dimensions
Transcultural Psychiatry
Dialogue between Buddhist thought and psychiatry","Mindfulness
Cultural Characteristics
Psychotherapeutic Processes
Buddhism
Meditation
Community Mental Health Services
Adaptation, Biological
Insufflation
Elements
Moral Development
Psychotherapy, Psychodynamic
Religious Philosophies","1.0000
0.8505
0.9107
1.0000
0.8644
0.7123
0.8667
0.5955
0.6603
0.7000
0.6827
0.6058"
"Cancer prevention
Therapy integration
Broad-spectrum approach
Targeted therapies
High drug costs
Marginal therapeutic benefits
Toxicity concerns
Phytochemicals
Low-toxicity treatments
Low-cost therapeutics
Cancer hallmarks
Genomic tumor analyses
Consortium of researchers
Cancer morbidity and mortality
Low- and middle-income nations","Soccer
Reality Therapy
Combined Modality Therapy
Molecular Targeted Therapy
Drug Costs
Treatment Outcome
Toxicity Tests
Phytochemicals
Toxicity Tests
Drug Costs
Soccer
DNA Tumor Viruses
Support of Research
Cancer Care Facilities
Developed Countries","0.7129
0.5735
0.4671
0.7412
0.8592
0.5521
0.8095
1.0000
0.5664
0.6365
0.6529
0.6159
0.7274
0.5539
0.5786"
"Early detection
Mental health
Neurodevelopmental disorders
Ethical challenges
Field in infancy
Childhood diagnosis
Chronic disability
Long-term impairment
Risk signs
Symptom identification
Prevention
Intervention efforts
ADHD
ASD
Dyslexia
Mood dysregulation
Disruptive behavior disorders
Anxiety disorders","Diagnostic Services
Mental Health
Neurodevelopmental Disorders
Ethicists
Flea Infestations
Early Diagnosis
Sports for Persons with Disabilities
Memory, Long-Term
Risk
Symptom Assessment
Secondary Prevention
Inventions
Diestrus
Aspartate-Semialdehyde Dehydrogenase
Dyslexia
Mood Disorders
Child Behavior Disorders
Anxiety Disorders","0.7071
0.9339
0.9736
0.7014
0.5838
0.6838
0.6186
0.5628
0.7070
0.8242
0.7746
0.7638
0.6146
0.6135
1.0000
0.8130
0.7674
0.9662"
"Mental illnesses
Robert Schumann
Genius
Madness
Musical career
Contemporary theories
Gifted individuals
Sympathetic overview
Critical perspective
Extant theories
Illness
Composer
Nuanced overview","Mental Disorders
Health Resources
Genetics
Wilderness
Musa
Social Theory
Gift Giving
Sympathetic Nervous System
Critical Pathways
Social Theory
Illness Behavior
Food Supply
Archives","0.8098
0.5802
0.6028
0.6913
0.7222
0.7422
0.7516
0.6132
0.6059
0.7798
0.7308
0.6295
0.5862"
"Pancrustacea
Physiology
Insects
Crustaceans
Terrestrial systems
Aquatic systems
Evolutionary relationships
Comparative biology
Invertebrate biology
Insect physiology
Cross-talk between researchers
Conserved physiological systems
Evolution of physiological systems
Advances in Pancrustacean physiology","Crustacea
Physiology
Insects
Combretaceae
Humanities
Vestibular Aqueduct
Biological Evolution
Synthetic Biology
Invertebrates
Insect Control
Support of Research
Nervous System Physiological Phenomena
Biological Evolution
Pandanaceae","0.7452
1.0000
1.0000
0.5739
0.6982
0.5683
0.6682
0.7507
0.8527
0.7555
0.6547
0.5796
0.6106
0.4365"
"Routine outcome measures
Implementation
Clinical care
Quality improvement
Performance management
National efforts
Regional efforts
Successes
Challenges
Global improvement","Library Surveys
Machine Learning
General Practice
Quality Improvement
Time Management
Health Resources
Survival Rate
Forms
Patient Rights
Survival Rate","0.5877
0.6567
0.8560
0.9933
0.6545
0.6760
0.7681
0.6747
0.7354
0.6002"
"Antibiotic resistance
Global threat
Workshop
Dag Hammarskjöld Foundation
Partnerships
Antibiotics
Collective action
Tools
States
Non-state actors
Symposium","Drug Resistance, Microbial
Cross Protection
Work
Grassland
Partnership Practice
Antibiotics, Antineoplastic
Collective Bargaining
London
Geography
Organizations, Nonprofit
Meeting Abstracts","0.6209
0.6291
0.6988
0.5261
0.7253
0.7738
0.6443
0.9264
0.8354
0.6259
0.8181"
"Causal methods
Brain function
Neural circuits
Behavior
Perception
Cognition
Electrical devices
Genetically encoded tools
Neurochemical approaches
Clinical intervention
Brain processing","Social Theory
Brain
Neural Inhibition
Behavior
Perception
Cognition
Electronics
Genetic Engineering
Neurochemistry
Inventions
Brain","0.6181
0.8264
0.6647
1.0000
1.0000
1.0000
0.7759
0.6546
0.7018
0.8249
0.7490"
"Borderline personality disorder
Treatment advances
Psychotherapy
Evidence-based practices
Challenges
Expert opinions
Special issue introduction","Borderline Personality Disorder
Treatment Failure
Psychotherapy
Evidence-Based Practice
Patient Rights
Consensus
Researcher-Subject Relations","0.8017
0.6217
1.0000
0.9035
0.7354
0.7324
0.4987"
"Blue space geographies
Healthy blue space
Therapeutic landscapes
Environment and wellbeing
Emotional geographies
Relational geographies
Salutogenesis
Mixed blue space settings
Embodiment
Inter-subjectivity
Activity
Meaning
Public health policy relevance","Personal Space
Group Homes
Narrative Therapy
Environmental Psychology
Emotional Intelligence
Raw Foods
Organogenesis
Oxygen
Embryo Disposition
Cross-Over Studies
Motor Activity
Reading
Public Health Practice","0.5423
0.5547
0.6417
0.6600
0.7329
0.6550
0.6355
0.5408
0.6826
0.5523
0.6807
0.6188
0.8463"
"Sex differences
Drug abuse
Etiology
Prevention
Treatment
Psychopharmacology
Females
Substance abuse
Preclinical research
Treatment approaches
Peer-reviewed journals
Scientific awareness
Comprehensive understanding
Innovative research
Burdensome investigation","Sex Differentiation
Drug Users
Etiolation
Secondary Prevention
Death
Psychopharmacology
Whales
Substance-Related Disorders
Animal Care Committees
Quality Improvement
Peer Review, Research
Awareness
Judgment
Support of Research
Research Design","0.7457
0.8420
0.5678
0.7746
0.9823
1.0000
0.6741
0.8394
0.7857
0.9644
0.6871
0.7698
0.6104
0.7775
0.5753"
"Trust
Healthcare
Physicians
Patient-physician relationship
Confidence
Symptoms disclosure
Diagnosis
Future care
Public health
Community workers
Respect
Acceptance
Advice seeking
Strengthening trust","Trust
Health Care Surveys
Physicians
Physician-Patient Relations
Confidence Intervals
Symptom Assessment
Diagnosis
Long-Term Care
Public Health Practice
Community Health Workers
Cross Protection
General Surgery
Spouse Abuse
Trustees","1.0000
0.7777
1.0000
0.7016
0.7793
0.6991
1.0000
0.6722
0.8927
0.9184
0.6945
0.6250
0.5571
0.5764"
"Neuroendocrine development
Dual-axis approach
Stress hormones
Sex hormones
Coupling of hypothalamic-pituitary-adrenal and -gonadal axes
Positive within-person association
Acute, diurnal, basal, and longitudinal timeframes
Contexts
Adolescence
Functional dual-axis approach","Neuroendocrinology
Axons
Hormones
Hormones
Gonadal Hormones
Interpersonal Relations
Periodicity
Contracts
Adolescent
Multilevel Analysis","0.7853
0.5624
0.7081
0.7972
0.5622
0.5797
0.4891
0.5989
0.9045
0.4973"
"Heart beats
Multimodal data
Robust detection
PhysioNet/Computing in Cardiology Challenge
Long-term recordings
ECGs
Pulsatile signals
Comparison of methods
Public database
Scoring criteria
Performance evaluation","Heart Rate
Multimodal Imaging
Robotics
Cardiac Imaging Techniques
Tape Recording
Electrocardiography
Pulsatile Flow
Methods
Data Collection
Position-Specific Scoring Matrices
Work Performance","0.6978
0.9297
0.6831
0.5747
0.5249
0.6068
0.7671
0.6337
0.8628
0.6176
0.7511"
"Dexmedetomidine
Anesthesia pharmacology
New drug
Early evidence
Conclusive information
Anesthesia clinicians
Researchers
Specialty role
Wonder drug
Also-ran","Dexmedetomidine
Anesthesia
Prescription Drugs
Freedom
Concurrent Review
Anesthesia
Sampling Studies
Physician's Role
Designer Drugs
Columbiformes","1.0000
0.8048
0.6520
0.6034
0.6379
0.8212
0.7410
0.6866
0.6542
0.5360"
"Legacy
Science
Community engagement
Community Networks Program
Cancer health disparities
Research investigations
Mentoring
Training
Diverse health disparity researchers
Reduction of cancer health disparities
United States
Inequities
Global context","Legislation
Science
Community Integration
Community Networks
Minority Health
Sampling Studies
Mentors
Training Support
Health Status Disparities
Early Detection of Cancer
United States
Ilium
Population","0.6301
1.0000
0.9049
0.8547
0.5500
0.7616
0.8139
0.7072
0.5417
0.4768
1.0000
0.6086
0.6546"
"Traumatic Brain Injury
Rehabilitation
Comparative Effectiveness Research
Practice-Based Evidence
Archives of Physical Medicine and Rehabilitation
Supplement
TBI-Practice Based Evidence Study
Rehabilitation Techniques
Outcomes Measures
Evidence-Based Medicine
Clinical Practice Guidelines","Multiple Trauma
Rehabilitation
Comparative Effectiveness Research
Evidence-Based Practice
Physical and Rehabilitation Medicine
Dietary Supplements
Evidence-Based Practice
Rehabilitation
Patient Outcome Assessment
Evidence-Based Medicine
Molecular Biology","0.7996
1.0000
1.0000
0.8393
0.8473
0.6661
0.6620
0.7876
0.5657
1.0000
0.7409"
"Sarcopenia
Fracture prevention
Epidemiology
Diagnosis
Muscle mass assessment
Functional assessment
Vitamin D
Nutrition
Patient care
Clinical approach","Sarcopenia
Fracture Healing
Epidemiology
Diagnosis
Muscle, Smooth
Functional Behavior, Psychology
Vitamin D
Nutrition Assessment
Medical Staff
Program Development","1.0000
0.7831
1.0000
1.0000
0.6612
0.6758
1.0000
0.8904
0.9605
0.6857"
