LLM_Keywords,Year
"1. Interactional explanation
2. Hypnosis
3. Communication
4. Relationship
5. Trance
6. Therapist-patient dynamics
7. Gregory Bateson
8. John Weakland
9. Don Jackson
10. Bill Fry
11. Subjective experience",2017
"1. Hypnosis
2. Schizophrenia
3. Communication
4. Psychological disorder
5. Biological disorder
6. Jay Haley
7. John Weakland
8. Milton Erickson
9. Intellect
10. Argument
11. Schizophrenia research
12. Conversation
13. Transcript",2017
"1. Hypnosis
2. Milton Erickson
3. Jay Haley
4. Trance state
5. Flexibility
6. Trance induction
7. Resistant subjects
8. Therapy
9. Clinicians
10. Therapeutic relationship
11. Communication",2017
"1. Oncology nursing
2. Research issue
3. Oncology Nursing Forum
4. Oncology Nursing Society
5. Featured columns
6. Research reports
7. Special issue
8. Cancer care
9. Evidence-based practice
10. Advancements in oncology nursing",2016
"1. Multimodality
2. Early sensory processing
3. Visual maps
4. Flexible encoding
5. Multisensory space
6. Sensory organs
7. Cortical areas
8. Unisensory areas
9. Associative areas
10. Plasticity
11. Critical period
12. Functional network
13. Brain areas
14. Input statistics
15. Behavioral goals",2015
"1. Polyphenols
2. Plant secondary metabolites
3. Organoleptic properties
4. Nutritional properties
5. Practical applications
6. International Conference on Polyphenols
7. Tannin Conference
8. Chemistry
9. Physicochemistry
10. Materials science
11. Biosynthesis
12. Genetics
13. Metabolic engineering
14. Plant-environment interactions
15. Nutrition and health
16. Natural medicine",2016
"1. Editorial
2. Psychiatry
3. Mental health
4. National Mental Health Protection Programme
5. Criminal law amendment
6. Treatment measures
7. Psychiatric institutions
8. Conflict
9. Politicians
10. Lawyers
11. Mentally ill
12. Social attitude
13. Tragic events
14. Responsibility
15. Image of psychiatry and psychiatrists",2015
"1. Neuroimaging
2. Neuropsychology
3. Special issue
4. Neuropsychology Review
5. Structural neuroimaging
6. Functional neuroimaging
7. Advances
8. Human brain
9. Cognitive processes
10. Brain imaging techniques
11. Applications in neuropsychology
12. Diagnostic tools
13. Neurocognitive assessment
14. Research developments",2016
"1. Synesthesia
2. Cognitive neuroscience
3. Special issue
4. Models
5. Neural mechanisms
6. New types
7. Demographic characteristics
8. Cognitive profile",2016
"1. Ostracism
2. Research
3. Sources
4. Individuals
5. Feelings
6. Ostracizing
7. Special issue
8. Journal of Social Psychology
9. Experimental studies
10. Methods
11. Understudied aspect
12. Common phenomenon",2016
"1. Lesbians
2. Children's literature
3. Young adult literature
4. Homosexuality
5. Scholarly conversations
6. Intellectual discussions
7. Special issue
8. Journal of Lesbian Studies",2016
"1. Mindfulness
2. Cultural context
3. Psychotherapeutic intervention
4. Buddhism
5. Meditation techniques
6. Positive mental health
7. Adaptation
8. Suffering
9. Ethical dimensions
10. Moral dimensions
11. Transcultural Psychiatry
12. Dialogue between Buddhist thought and psychiatry",2016
"1. Cancer prevention
2. Therapy integration
3. Broad-spectrum approach
4. Targeted therapies
5. High drug costs
6. Marginal therapeutic benefits
7. Toxicity concerns
8. Phytochemicals
9. Low-toxicity treatments
10. Low-cost therapeutics
11. Cancer hallmarks
12. Genomic tumor analyses
13. Consortium of researchers
14. Cancer morbidity and mortality
15. Low- and middle-income nations",2016
"1. Early detection
2. Mental health
3. Neurodevelopmental disorders
4. Ethical challenges
5. Field in infancy
6. Childhood diagnosis
7. Chronic disability
8. Long-term impairment
9. Risk signs
10. Symptom identification
11. Prevention
12. Intervention efforts
13. ADHD
14. ASD
15. Dyslexia
16. Mood dysregulation
17. Disruptive behavior disorders
18. Anxiety disorders",2016
"1. Mental illnesses
2. Robert Schumann
3. Genius
4. Madness
5. Musical career
6. Contemporary theories
7. Gifted individuals
8. Sympathetic overview
9. Critical perspective
10. Extant theories
11. Illness
12. Composer
13. Nuanced overview",2016
"1. Pancrustacea
2. Physiology
3. Insects
4. Crustaceans
5. Terrestrial systems
6. Aquatic systems
7. Evolutionary relationships
8. Comparative biology
9. Invertebrate biology
10. Insect physiology
11. Cross-talk between researchers
12. Conserved physiological systems
13. Evolution of physiological systems
14. Advances in Pancrustacean physiology",2016
"1. Routine outcome measures
2. Implementation
3. Clinical care
4. Quality improvement
5. Performance management
6. National efforts
7. Regional efforts
8. Successes
9. Challenges
10. Global improvement",2016
"1. Antibiotic resistance
2. Global threat
3. Workshop
4. Dag Hammarskjöld Foundation
5. Partnerships
6. Antibiotics
7. Collective action
8. Tools
9. States
10. Non-state actors
11. Symposium",2016
"1. Causal methods
2. Brain function
3. Neural circuits
4. Behavior
5. Perception
6. Cognition
7. Electrical devices
8. Genetically encoded tools
9. Neurochemical approaches
10. Clinical intervention
11. Brain processing",2016
"1. Borderline personality disorder
2. Treatment advances
3. Psychotherapy
4. Evidence-based practices
5. Challenges
6. Expert opinions
7. Special issue introduction",2016
"1. Blue space geographies
2. Healthy blue space
3. Therapeutic landscapes
4. Environment and wellbeing
5. Emotional geographies
6. Relational geographies
7. Salutogenesis
8. Mixed blue space settings
9. Embodiment
10. Inter-subjectivity
11. Activity
12. Meaning
13. Public health policy relevance",2017
"1. Sex differences
2. Drug abuse
3. Etiology
4. Prevention
5. Treatment
6. Psychopharmacology
7. Females
8. Substance abuse
9. Preclinical research
10. Treatment approaches
11. Peer-reviewed journals
12. Scientific awareness
13. Comprehensive understanding
14. Innovative research
15. Burdensome investigation",2016
"1. Trust
2. Healthcare
3. Physicians
4. Patient-physician relationship
5. Confidence
6. Symptoms disclosure
7. Diagnosis
8. Future care
9. Public health
10. Community workers
11. Respect
12. Acceptance
13. Advice seeking
14. Strengthening trust",2017
"1. Neuroendocrine development
2. Dual-axis approach
3. Stress hormones
4. Sex hormones
5. Coupling of hypothalamic-pituitary-adrenal and -gonadal axes
6. Positive within-person association
7. Acute, diurnal, basal, and longitudinal timeframes
8. Contexts
9. Adolescence
10. Functional dual-axis approach",2016
"1. Heart beats
2. Multimodal data
3. Robust detection
4. PhysioNet/Computing in Cardiology Challenge
5. Long-term recordings
6. ECGs
7. Pulsatile signals
8. Comparison of methods
9. Public database
10. Scoring criteria
11. Performance evaluation",2016
"1. Dexmedetomidine
2. Anesthesia pharmacology
3. New drug
4. Early evidence
5. Conclusive information
6. Anesthesia clinicians
7. Researchers
8. Specialty role
9. Wonder drug
10. Also-ran",2016
"1. Legacy
2. Science
3. Community engagement
4. Community Networks Program
5. Cancer health disparities
6. Research investigations
7. Mentoring
8. Training
9. Diverse health disparity researchers
10. Reduction of cancer health disparities
11. United States
12. Inequities
13. Global context",2015
"1. Traumatic Brain Injury
2. Rehabilitation
3. Comparative Effectiveness Research
4. Practice-Based Evidence
5. Archives of Physical Medicine and Rehabilitation
6. Supplement
7. TBI-Practice Based Evidence Study
8. Rehabilitation Techniques
9. Outcomes Measures
10. Evidence-Based Medicine
11. Clinical Practice Guidelines",2015
"1. Sarcopenia
2. Fracture prevention
3. Epidemiology
4. Diagnosis
5. Muscle mass assessment
6. Functional assessment
7. Vitamin D
8. Nutrition
9. Patient care
10. Clinical approach",2016
"1. Agricultural experimentation
2. Evolution of scientific domains
3. Molecular biology
4. Genomics
5. Statistics
6. Computing
7. Affinities and antinomies
8. Practices and tools
9. Social and political structures
10. Human development
11. Health and nutrition
12. Policy discussions
13. Farming embeddedness",2015
"1. Bioethics
2. Right to Health
3. Complementary Agenda
4. Health and Human Rights Journal
5. Intersections
6. Synergies
7. Contrasts
8. Universal Health Coverage
9. Global Health Governance
10. Scholarly Attention
11. Conceptual Terrain
12. Normative Terrain
13. Guidance for Action
14. International Policy
15. Practice",2016
"1. Metabolomics
2. Brain metabolism research
3. Neuroscience metabolomics
4. Analytical platforms
5. Biofluids
6. Brain tissue
7. Cells
8. Disease stages
9. Drug action on CNS
10. Central nervous system
11. Ligand-receptor interactions
12. CNS disorders",2016
"1. mitochondria
2. diseases
3. roles
4. surprises
5. review series
6. biology
7. medicine
8. cellular processes
9. energy production
10. oxidative stress
11. genetic mutations
12. pathogenesis
13. therapeutic targets",2016
"1. Emerging infections
2. Therapeutics
3. Vaccine-preventable diseases
4. Ebola
5. Public education
6. Novel therapies
7. Preclinical models
8. Pharmacokinetics
9. Pharmacodynamics
10. Pharmacogenomics
11. Clinical trials
12. Human immunodeficiency virus
13. Hepatitis C virus
14. Multidrug-resistant tuberculosis",2015
"1. 3D Printing
2. Hydrogels
3. Stretchable
4. Toughness
5. Biocompatibility
6. Cellularized Structures
7. Multilayer Mesh
8. High Viability
9. Mechanical Loads
10. Deformations",2016
"1. Diabetes
2. Obesity
3. Brain
4. Cognitive functioning
5. Biobehavioral medicine
6. Central nervous system
7. Type 1 diabetes
8. Type 2 diabetes
9. Hypothalamus
10. Dopaminergic system
11. Bariatric surgery
12. Behavioral methods
13. Aging process
14. Neurocognitive dysfunction",2016
"1. G Protein-Coupled Receptors
2. Biology
3. In Vitro
4. In Vivo
5. Crystal Structure Models
6. Model Organisms
7. International Researchers
8. Lorentz Center
9. Leiden, Netherlands
10. Technical Issues
11. Conceptual Issues
12. Analysis
13. Review Articles
14. Brief Presentations
15. Structured Discussion Periods",2015
"1. Bacterial phosphotransferase system
2. Discovery
3. Sugar transport
4. Sugar phosphorylation
5. Protein kinase system
6. Regulation
7. Transport processes
8. Metabolic processes
9. Mutagenic processes
10. Gene expression
11. Operon sequencing
12. Genome sequencing
13. Novel PTS genes
14. Cellular physiology
15. Evolutionary history",2016
"1. IL-17
2. T17 cells
3. Immune defense
4. Fungi
5. Regulation
6. Plasticity
7. Tissue remodeling
8. Inflammation",2016
"1. Family physicians
2. Information
3. Controversial topics
4. Atrial fibrillation
5. Anticoagulants
6. Oropharyngeal cancer
7. Epidemiology
8. Guidelines
9. Quality improvement
10. Near miss reporting
11. Pet health
12. Human-animal interactions",2016
"1. Inflammatory disease research
2. Big data
3. Immune response
4. Cell types
5. Sensors
6. Precision medicine
7. Integration of approaches",2015
"1. ICCBM
2. Conference
3. Articles
4. Selection
5. Publication
6. Issue
7. July 2015
8. Proceedings
9. International
10. Collaborative
11. Business
12. Management
13. Research
14. Scientific
15. Contributions",2016
"1. Desiccation tolerance
2. Seeds
3. Prokaryotes
4. Eukaryotes
5. Metabolism suspension
6. Environmental stresses
7. Genomic models
8. Comparative genomics
9. Quantitative trait
10. Drought tolerance
11. Climate change
12. Seed banks
13. Propagules
14. Algae
15. Lichens",2016
"1. Western blotting
2. Protein analysis
3. Diagnostic screening
4. Proteomics
5. Imaging techniques
6. Evolution of methods
7. Scientific usefulness
8. High-content analysis
9. Research laboratory
10. Clinical applications",2016
"1. Hymen reconstruction surgery
2. Virginity
3. Religious beliefs
4. Cultural norms
5. Wedding night
6. Ethical justification
7. Harvard Ethics Consortium
8. Young woman
9. Female physician
10. Debate
11. Medical procedure
12. Reputation
13. Religious and cultural expectations",2015
"1. Micronutrient deficiencies
2. Latin America and the Caribbean
3. Prevalence data
4. Vitamin A
5. Folate
6. Anemia
7. Iron deficiency
8. Zinc
9. Health surveys
10. Nutrition status
11. Public health problem",2015
"1. Patient-centered care coordination
2. Health information technology
3. Electronic health records (EHRs)
4. Care coordination challenges
5. Natural Language Processing
6. Public Health & Epidemiology Informatics
7. IMIA Yearbook of Medical Informatics
8. Clinical pathways
9. Multi-morbid patients
10. Information sharing
11. Care delivery fragmentation
12. Emerging trends
13. HIT applications
14. 25th anniversary celebration",2017
"1. Microbeam radiation therapy
2. Synchrotron radiation source
3. Brain tumors
4. Epilepsy treatment
5. Proton therapy
6. SYRA3 COST Action
7. Preclinical studies
8. Clinical applications
9. Multidisciplinary international activities
10. Compact sources
11. Proton microbeams
12. Future prospects",2016
"1. Life cycle assessment
2. Market research
3. Policy
4. Harmonization
5. Standardization
6. SETAC
7. LCA Case Study Symposium
8. Decision-making process
9. Industry contexts
10. Policy contexts
11. Communication
12. Market strategies",2016
"1. Mental health professionals
2. Infertility care
3. Assisted reproductive technologies
4. Third-party reproduction
5. Historical perspective
6. Key areas
7. Mental health services
8. Comprehensive integration
9. Infertility practice
10. Practical opportunities",2015
"1. Cognitive bias modification
2. Translational development
3. Experimental psychopathology
4. Clinical efficacy
5. Innovation
6. Methodology
7. Information-processing bias
8. Moderating mechanisms
9. Mediating effects
10. Augmenting treatments
11. Publication of findings
12. Special issue",2016
"1. Oxidative stress
2. Biomedical research
3. Basic research
4. Analytical procedures
5. Definitions
6. Concepts
7. Introduction
8. Overview
9. Newcomers
10. Articles
11. Thousands
12. Well-researched area",2016
"1. Fungal stress biology
2. Food security
3. Cancer rates
4. Environmental health
5. Climate change
6. Soil health
7. Crop productivity
8. Food spoilage
9. Biological control
10. Bioremediation
11. Biofuels
12. Fungal stress responses
13. Biological control of insect pests
14. Saprotrophic fungi in agriculture and forestry
15. Mycotoxin contamination",2016
"1. Cognition
2. Environmental change
3. Climate shifts
4. Extremes in temperature and moisture
5. Ectothermic taxa
6. Thermal regime
7. Habitat use
8. Coping mechanisms
9. Ecological patterns
10. Evolutionary patterns
11. Conservation of biodiversity",2016
"1. International Prostate Forum
2. History
3. Urology departments
4. Japan
5. Turkey
6. United States
7. Prostate diseases
8. Ultrasound
9. Diagnostics
10. Benign prostate disease
11. Prostate cancer screening
12. Prostate cancer diagnosis
13. Staging
14. Therapies",2016
"1. Financial case
2. Patient-centered
3. Interdisciplinary teams
4. United Kingdom
5. Healthcare teams
6. Benefits
7. Human becoming school of thought
8. Head and neck oncology
9. Oncology treatment
10. Comparison
11. United States",2017
"1. Effort-Based Decision Making
2. Schizophrenia
3. Motivational Deficits
4. Performance-Based Tasks
5. Reward Level
6. Objective Measurement
7. Negative Symptoms
8. Clinical Interviews
9. Animal Literature
10. Human Literature
11. Psychometric Evaluation
12. Paradigm Development
13. Preclinical Studies
14. Performance Factors
15. Clinical Trial Endpoints",2016
"1. Health technology assessment (HTA)
2. Evolution
3. Consumer
4. Honest broker
5. Engaged collaborator
6. Proactive role
7. Stakeholders
8. Evidence production
9. Clinical development program
10. A priori sense
11. Interaction
12. Adversarial",2017
"1. Rhinoplasty
2. External approach
3. Technique
4. Advantages
5. Disadvantages
6. Case review
7. Procedure
8. Emotional factors
9. Radical grounds
10. Problems",2015
"1. Meta-analysis
2. Origins
3. Research Synthesis Methods
4. Gene Glass
5. Frank Schmidt
6. Robert Rosenthal
7. William Shadish
8. Development
9. Impact
10. Commentaries
11. Douglas Altman
12. Iain Chalmers
13. Harris Cooper
14. Kay Dickersin
15. Larry Hedges
16. David Hoaglin
17. Hannah Rothstein",2016
"1. Customer-centric experience
2. Healthcare
3. Behavioral health
4. Affordable Care Act
5. Mainstream healthcare
6. Primary health providers
7. Integration
8. Expertise
9. Support
10. Individuals
11. Improvement
12. Service",2016
"1. Late-life anxiety
2. Adaptive human experience
3. Attention
4. Avoidance
5. Coping mechanisms
6. Evolutionary importance
7. Genetic underpinnings
8. Biological factors
9. Psychopathology
10. Complex adaptive systems
11. Stress response
12. DSM-5 (Diagnostic and Statistical Manual of Mental Disorders, 5th edition)
13. Heterogeneity of anxiety disorders",2016
"1. Breast cancer
2. Survivorship
3. Treatment effects
4. Long-term effects
5. Heterogeneity
6. Multidisciplinary approach
7. Cancer survivors
8. United States
9. Clinical trials
10. Late effects",2015
"1. Peto's paradox
2. comparative oncology
3. evolutionary thinking
4. cancer emergence
5. tumour growth
6. metastasis
7. cancer defences
8. natural selection
9. biology
10. ecology
11. carcinogenesis
12. incidence
13. lethality
14. cancer epidemiology
15. prevention",2016
"1. Metals
2. Biology
3. Host-pathogen interface
4. Mammalian hosts
5. Pathogens
6. Metal homeostasis
7. Regulatory systems
8. Strategies
9. Fighting pathogens
10. Essential metals
11. Toxicity
12. Complexing reagents
13. Microbial regulatory apparatus",2015
"1. Cannabinoids
2. Endocannabinoid system
3. Immune function
4. Phytocannabinoids
5. CB1 and CB2 receptors
6. Anandamide (AEA)
7. 2-Arachidonylglycerol (2-AG)
8. Monocytes
9. Macrophages
10. Lymphocytes
11. Dendritic cells
12. Basophils
13. Medical implications
14. Synthetic cannabinoids",2016
"1. Epigenetics
2. Bone homeostasis
3. Remodeling
4. Skeletal tissue
5. Inheritance
6. Development
7. Disease states
8. Mechanistic characterization
9. Tissue dynamics
10. Consensus
11. Emerging concepts
12. Future directions",2016
"1. Autoimmunity
2. Etiology
3. Immune homeostasis
4. Self-tolerance
5. Imbalanced immune responses
6. Pathogenic autoimmune phenotypes
7. Advances in the field
8. Therapies",2015
"1. Asthma
2. Childhood
3. Monitoring
4. Treatment
5. Clinical control
6. Risks
7. Assessments
8. Age
9. Severity
10. Variability
11. Exacerbations
12. Comorbidities
13. Socioeconomic factors
14. Psychosocial factors
15. Environmental exposures",2016
"1. Chronic thromboembolic pulmonary hypertension
2. Pulmonary hypertension
3. Treatment landscape
4. Obstructed pulmonary arterial vessels
5. Organized thromboembolic material
6. Underdiagnosed and undertreated
7. Progressive PH
8. Right ventricular failure",2016
"1. Alzheimer's disease
2. Prevention strategies
3. Preclinical stages
4. Dementia
5. Vascular factors
6. Lifestyle-related factors
7. Pathophysiological processes
8. Physical activity
9. Mental training
10. Early detection
11. Nonpharmacological methods
12. Pharmacological methods
13. Amyloid cascade",2016
"1. Cytokines
2. T cell subsets
3. Immune-mediated diseases
4. Inflammation
5. Tissue damage
6. Pro-inflammatory cytokines
7. Anti-inflammatory cytokines
8. Pathogenic T cells
9. Protective T cells
10. IL-17 /IL-23 axis
11. Th17 cells
12. T regulatory (Treg) cells
13. Therapeutic targets/agents
14. Immune pathology and therapy",2016
"1. Vaccine immunity
2. Enhancing vaccine value
3. Disease targets
4. Infectious diseases prevention
5. Life span increase
6. Aging population protection
7. Immunology advancements
8. Structural biology
9. Synthetic biology
10. Genomics
11. Vaccine adjuvants
12. Non-technical challenges
13. Safety controversies
14. Regulatory complexity
15. Value assessment methods",2016
"1. Psychiatry
2. Symptoms
3. Diseases
4. Nosology
5. Kraepelin
6. Wernicke
7. Störring
8. Ziehen
9. Gaupp
10. Hoche
11. Jaspers
12. Gruhle
13. Meaning
14. Mental symptoms
15. Epistemological unit of analysis",2016
"1. Ring-tailed lemurs
2. Species re-imagined
3. Long-studied primate species
4. Behavior
5. Biology
6. Ecology
7. Genetics
8. Palaeobiology
9. Life history
10. New generation of scholars
11. High altitude habitats
12. Spiny thicket habitats
13. Rocky outcrop habitats
14. Anthropogenically disturbed habitats
15. Madagascar flagship species",2016
"1. Haemophobia
2. Nursing students
3. Clinical practice
4. Responsibilities
5. Fainting
6. Blood exposure
7. Mentors
8. Undergraduate education
9. Off-duty concerns
10. On-duty expectations",2015
"1. Intellectual disabilities
2. Mortality
3. Understanding
4. Data analysis
5. Concerns
6. Special edition",2016
"1. Genetic influences
2. Peer relationships
3. Family relationships
4. Adolescent development
5. Gene-environment interplay
6. Behavior genetic methodology
7. Adolescent adjustment
8. Innovative behavior genetic methodological approaches
9. Environmental moderation
10. Genetic risk
11. Dopamine regulation genes
12. Positive and negative environments
13. Developmental outcomes
14. Concerted action of genes and environments",2016
"1. Neurologic disorders
2. Sexuality
3. Bladder dysfunction
4. Lower urinary tract
5. Diagnosis
6. Treatment
7. Ancient literature
8. Contemporary methods
9. Prevalence
10. Physician preparedness
11. Patient communication
12. Neurologist education
13. Trust in patient-doctor relationship",2015
"1. Vertebrate body axis
2. Anterior-posterior patterning
3. Timing in development
4. Wnt signaling
5. Complex timers
6. BMP-anti BMP mechanism
7. Organiser inducing factor nodal
8. Somitogenesis timer
9. Axial pattern formation
10. Hox genes
11. TST (time-space translation) mechanism
12. Sequential patterning
13. Ventral-dorsal transitions
14. Retinoids
15. FGFs (fibroblast growth factors)",2016
"1. Mummy anatomy
2. Ancient human remains
3. Soft tissue preservation
4. Mummification process
5. Scientific study
6. Cultural preservation
7. Transdisciplinary research
8. State-of-the-art analysis",2016
"1. Autoinflammation
2. Innate immune system
3. Monogenic autoinflammatory diseases
4. Infection
5. Autoimmunity
6. Homeostasis
7. Evolutionary function
8. Innate immune pathways
9. Chronic inflammatory disease",2016
"1. Livestock models
2. Translational medicine
3. Human diseases
4. Rodent models
5. Pathogenesis
6. Infectious diseases
7. Metabolic disorders
8. Neoplastic disorders
9. Genetic disorders
10. Microbiology
11. Vaccine development
12. Stem cell therapy
13. Institutional Animal Care and Use Committees
14. Animal health
15. Food production",2016
"1. Bioethics
2. Philosophy of medicine
3. Organ donation
4. Defining death
5. Fairness in distribution
6. Medical practice
7. Humanities
8. Ethical inquiry
9. Medical resources
10. Bioethical questions",2016
"1. Epigenetics
2. Gene regulation
3. Chromatin modifications
4. DNA methylation
5. Histone covalent modifications
6. RNA interference
7. Non-coding RNAs
8. Cancer
9. Neurodegenerative disorders
10. Alzheimer's disease
11. Pharmacology
12. Drug development
13. Human disease
14. Disease control",2016
"1. Developmental trajectories
2. Cognitive-behavioral phenotypes
3. Intellectual impairment
4. Genetics
5. Behavioral abnormalities
6. Human growth
7. Intellectual disability
8. Inheritance of intellectual ability
9. Sir Francis Galton
10. Alfred Binet
11. Theodore Simon
12. Intelligence testing
13. Pediatrics
14. Developmental psychology",2016
"1. Electronic health records (EHRs)
2. Health information technology (HIT)
3. Primary care practices
4. Patient care
5. Implementation strategies
6. Functionality relevance
7. Clinician and patient utility
8. Information overload
9. Actionable information
10. Informatics developers
11. HIT decisions
12. Care team trainings
13. Patient engagement
14. Health systems",2016
"1. High-pressure transvenous perfusion
2. Upper extremity
3. Muscular dystrophy
4. Safety study
5. 0.9% saline
6. Dose escalation
7. Intravenous analgesia
8. Feasibility
9. Phase 1/2 clinical trial
10. Duchenne muscular dystrophy
11. Limb girdle muscular dystrophy
12. Regional macromolecular therapeutics",2016
"1. Editorial
2. Issue
3. Reviews
4. Broad interests
5. Therapeutic antibodies
6. Prophylactic antibodies
7. Autophagy
8. Autoimmunity",2016
"1. Parental aging
2. Childhood implications
3. Delayed childbearing
4. Perinatal risks
5. Maternal age
6. Paternal age
7. Sperm aging
8. Egg aging
9. Offspring health",2015
"1. Fertility
2. Longevity
3. Natural fertility
4. Contraception
5. Late-age conceptions
6. Genetic factors
7. Environmental factors
8. Pregnancy
9. Rejuvenation
10. Infertility
11. Morbidity
12. Mortality",2015
"1. X-ray Pump-Probe
2. Femtosecond time-resolution
3. Hard X-ray methods
4. Free-electron laser source
5. Photon energy range
6. Femtosecond optical laser system
7. Transient states of matter
8. Ultrafast processes
9. Physical, chemical and biological processes
10. Atomic scale transformation
11. Energy transfer",2016
"1. Schizophrenia prevention
2. Premorbid phase intervention
3. Developmental vulnerabilities
4. Psychosis interventions
5. Clinical high-risk phase
6. Early intervention
7. Neurocognitive development
8. Psychosocial interventions
9. Psychopharmacological interventions
10. Ethical challenges
11. Empirical testing",2016
"1. Epistemology
2. Health
3. Medicine
4. Care
5. Philosophy
6. Clinical practice
7. Ethics
8. Metaphysics
9. Bedside
10. Understanding
11. Reality
12. Knowledge
13. Value",2016
"1. Bioactive metabolites
2. Contaminants
3. Fruits
4. Vegetables
5. Food chemistry
6. Congress
7. Florence
8. Italy
9. Nutraceuticals
10. Health claims
11. Extraction
12. Processing
13. Byproducts
14. Treatment
15. Valorization",2015
"1. Ticks
2. Infectious diseases
3. United States
4. Regional information sharing
5. Biology
6. Ecology
7. Public health
8. Vector-borne diseases
9. Mid-Atlantic Tick Summit III
10. Cross-disciplinary collaborations
11. Tick-bite risk reduction
12. Treatment of tick-borne diseases",2016
"1. Induced pluripotency
2. Cellular reprogramming
3. Basic research
4. Clinical translation
5. Opportunities
6. Stem cells
7. Regenerative medicine
8. Therapeutic applications
9. Developmental biology
10. Gene expression
11. Epigenetics",2015
"1. Typhoid fever
2. Vaccines
3. Burden of disease
4. Low-resource areas
5. World Health Organization
6. High-risk groups
7. Outbreak control
8. Economic evaluations
9. Transmission dynamic models
10. Vaccine strategies
11. Pilot projects",2016
"1. Molecular pathogenesis
2. Infectious diseases
3. Research
4. Pathogens
5. Brucellae
6. Staphylococcus aureus
7. Influenza
8. Trypanosoma cruzi
9. Reviews
10. Special issue",2016
"1. Psychotherapy
2. Research
3. Anniversary issue
4. Journal development
5. Methodology
6. Diversity
7. Consistency
8. International reach",2016
"1. Malnutrition
2. Prevention
3. Treatment
4. Moderate acute malnutrition
5. Severe acute malnutrition
6. Sustainable Development Goals
7. Management
8. Interventions
9. Symposium
10. International cooperation
11. Child nutrition
12. World Food Programme
13. Micronutrient Initiative
14. International Atomic Energy Agency
15. Global health",2015
"1. Community-university food projects
2. Race
3. Health promotion
4. Diet-related conditions
5. Obesity
6. Diabetes mellitus
7. Cardiovascular disease
8. Hypertension
9. Minority populations
10. Low-income populations
11. Disparities
12. Nutrition education
13. Food access
14. Community-based participatory research",2016
"1. Neurohormones
2. Brain
3. Behavior
4. Comparative approach
5. Rapid neuroendocrine action
6. Hormone mechanisms
7. Molecular approaches
8. Electrophysiological methods
9. Biochemical techniques
10. Integrative approaches
11. Neuroplasticity
12. Discovery
13. Understanding",2016
"1. Gasotransmitters
2. NO (Nitric Oxide)
3. CO (Carbon Monoxide)
4. H2S (Hydrogen Sulfide)
5. Pharmacology
6. Translational opportunities
7. Biological signaling
8. Medical applications
9. Therapeutic potential
10. Molecular mechanisms",2016
"1. Ovarian infertility
2. Older women
3. POF (Premature Ovarian Failure)
4. Testicular infertility
5. Human functional diseases
6. In vitro maturation (IVM)
7. In vitro fertilization (IVF)
8. Ovarian stem cells (OSCs)
9. Granulosa cells
10. Follicular renewal
11. Circulating blood mononuclear cells
12. Small blood volume replacement
13. Tissue rejuvenation
14. Honey bee propolis tincture",2016
"1. Firearm violence
2. Public health problem
3. Mental illness
4. Law
5. Gun control
6. Dangerous people
7. Access to guns
8. Prevention
9. Cultural entrenchment
10. Constitutional protection
11. Policies
12. Reduce firearm violence",2016
"1. Sociality
2. Health
3. Disease susceptibility
4. Transmission
5. Animal societies
6. Human societies
7. Fitness
8. Parasites
9. Grooming
10. Group living
11. Infectious disease
12. Non-infectious disease
13. Social competition
14. Social integration
15. Social buffering",2016
"1. Biomarker
2. Measurement
3. Evaluation
4. Indicator
5. Normal biologic processes
6. Pathogenic process
7. Pharmacologic response
8. Therapeutic intervention
9. FDA
10. National Institutes of Health
11. Consensus conference
12. Surrogate endpoints
13. Clinical research
14. Applications
15. Medical measurements",2015
"1. Southern Africa
2. HIV prevention
3. Care interventions
4. Global pandemic
5. Rapid expansion
6. High prevalence
7. Host biology
8. Viral factors
9. Human behavior
10. Politics and policy
11. Structural factors
12. Health services
13. Health workforce
14. Migration
15. Traditional healers
16. Epidemiological trends
17. HIV care and treatment
18. Policymakers
19. Healthcare workers
20. Scientists",2016
"1. Periodontal therapy
2. Regeneration
3. Biologic research
4. In vitro laboratory models
5. Preclinical models
6. Human studies
7. Wound repair
8. Bone repair
9. Cell culture
10. Animal models
11. Stem cell research
12. Scaffold designs
13. Growth factors
14. Gingival coverage",2017
"1. HIV continuum of care
2. High-prevalence cities
3. United States
4. NHAS goals
5. CDC initiatives
6. Surveillance programs
7. Programmatic research
8. Quality of care monitoring
9. Research projects
10. Academic partnerships
11. HIV treatment optimization
12. Prevention programs
13. CFAR/APC HIV Continuum of Care Working Group
14. Local DOH communication
15. Implications for jurisdictions",2015
"1. Brain
2. Hearing aids
3. Cortical processing
4. Cognitive processing
5. Sound categorization
6. Memory
7. Technological interventions
8. Behavioral interventions
9. Prediction
10. Design
11. Evaluation
12. Listener's ears",2016
"1. Hearing health care
2. Oldest older adults
3. Challenges
4. Auditory decline
5. Cognitive decline
6. Social changes
7. Emotional changes
8. Lifestyle changes
9. Physical disabilities
10. Comorbidities
11. Personalized needs assessments
12. Interprofessional teams
13. Shared decision making
14. Treatment options",2016
"1. Wound care
2. Therapeutic options
3. Negative pressure wound therapy
4. Instillation and dwell time
5. Surgical incision management
6. Open abdomen management
7. Epidermal skin harvesting
8. Advanced wound dressings
9. International Surgical Wound Forum
10. Educational forum
11. Multidisciplinary healthcare providers",2015
