id,title,publication_date,abstract,MeSH
26577428,In this issue: Time to replace doctors' judgement with computers.,2015-11-19,"Informaticians continue to rise to the challenge, set by the English Health Minister, of trying to replace doctors' judgement with computers. This issue describes successes and where there are barriers. However, whilst there is progress this tends to be incremental and there are grand challenges to be overcome before computers can replace clinician. These grand challenges include: (1) improving usability so it is possible to more readily incorporate technology into clinical workflow; (2) rigorous new analytic methods that make use of the mass of available data, 'Big data', to create real-world evidence; (3) faster ways of meeting regulatory and legal requirements including ensuring privacy; (4) provision of reimbursement models to fund innovative technology that can substitute for clinical time and (5) recognition that innovations that improve quality also often increase cost. Informatics more is likely to support and augment clinical decision making rather than replace clinicians.",Computer Systems|Delayed Diagnosis|Humans|Judgment|Physicians
26572561,Italian biophysics and SIBPA speed-up the pace towards the long and winding road of the interdisciplinary science.,2015-11-18,"This Special Issue of Biophysical Chemistry presents a selection of the contributions presented at the XXII National Congress of the Italian Society of Pure and Applied Biophysics (i.e., SIBPA, Società Italiana di Biofisica Pura ed Applicata) held on September 2014 in Palermo, Italy. Topics cover all biophysical disciplines, from molecular to cellular, to integrative biophysics giving a comprehensive view of the inter- and multi-disciplinary approach of modern biophysics. SIBPA, which turned 40 in 2013, continues to grow and attract interest.",Biophysics|Humans|Interdisciplinary Communication|Italy|Periodicals as Topic
26568482,Editor's Perspective: Supplements and Forums.,2015-11-17,"In this article, the Editor of the American Journal of Speech-Language Pathology reflects on the distinction between the Clinical or Research Forum and the Supplement-and the important contributions that each dissemination format makes.",Editorial Policies|Humans|Periodicals as Topic|Publishing|Research|Speech-Language Pathology|United States
26567276,Development of New Strategies for Echinocandins: Progress in Translational Research.,2015-11-15,Echinocandins are N-acyl-substituted cyclic hexapeptides with potent in vitro and in vivo activity against Candida species that are used for primary treatment and prevention of candidemia and invasive candidiasis. Recent progress in the translational research of echinocandins has led to new approaches for treatment of central venous catheter Candida biofilms. Other studies have laid the experimental and clinical foundation for use of extended dosing intervals for administration of echinocandins in treatment and prevention of candidemia and invasive candidiasis.,"Antifungal Agents|Biofilms|Candida|Candidemia|Candidiasis|Candidiasis, Invasive|Caspofungin|Catheter-Related Infections|Echinocandins|Humans|Lipopeptides|Micafungin|Translational Research, Biomedical"
26551698,TSPO: functions and applications of a mitochondrial stress response pathway.,2015-11-10,"The mitochondrial outer membrane protein TSPO (translocator protein) lies in a privileged position at the interface between mitochondrion and cytosol. Since the initially discovery, nearly forty years ago, it has generated major interest among various disciplines of modern experimental and applied biomedicine. The focused meeting we have organized aimed at summarizing the state of the art knowledge on TSPO and the discipline-based segregated concepts that have made this an exciting and active field of science. The scientists who have generously contributed the event have agreed to generate a special issue here published--stemmed from the discussion of the vent. This consists in a series of contributions via which the know-how is shared aiming to inspire current and future endeavours to validate and accelerate the impact of TSPO science in human pathophysiology and clinical applications.","Animals|Congresses as Topic|Cytosol|Humans|Mitochondria|Receptors, GABA|Stress, Physiological"
26549706,The status of modeled claims.,2015-11-10,"The only acceptable modeled claims for costs and outcomes are those that are testable and can be validated in a timeframe that is acceptable to a formulary committee. This issue provides four papers which explore the methodological issues in validation, the UK experience with NICE, the questions a formulary committee should ask of modeled claims, and the role of Big Data in validating modeled claims.","Equipment and Supplies|Formularies as Topic|Humans|Models, Theoretical|State Medicine|Technology Assessment, Biomedical|United Kingdom"
"26549295
21403039
17356982
25941285
26160162
26254687
24819891
12365965
26508714
21821557
26422450
19664226
21443291
26117081
26233697
19351400
25330017
22875685
9555766
10474547
15595944
26350114
26297321
26216706
26381929
26150093
11584154
26233698
26256769
26197880
15556121
15692000
15612851
9475768
20967495
25889199
19104929
25096689
25096690
11146702
18302018
26297322","Introduction to the Special Issue on the Studies on the Implementation of Integrated Models of Alcohol, Tobacco, and/or Drug Use Interventions and Medical Care.",2015-11-10,"National efforts are underway to integrate medical care and behavioral health treatment. This special issue of the Journal of Substance Abuse Treatment presents 13 papers that examine the integration of substance use interventions and medical care. In this introduction, the guest editors first describe the need to examine the integration of substance use treatment into medical care settings. Next, an overview of the emerging field of implementation science and its applicability to substance use intervention integration is presented. Preview summaries of each of the articles included in this special issue are given. Articles include empirical studies of various integration models, study protocol papers that describe currently funded implementation research, and one review/commentary piece that discusses federal research priorities, integration support activities and remaining research gaps. These articles provide important information about how to guide future health system integration efforts to treat the millions of medical patients with substance use problems.","Delivery of Health Care, Integrated|Humans|Primary Health Care|Substance-Related Disorders"
26549148,Dispatches from the International Behavioral Neuroscience Society meeting 2014. Introduction.,2015-11-10,"The International Behavioral Neuroscience Society (IBNS) was founded in 1992 to fill the need for a focused meeting of the international research community to discuss issues important for the development and progress of this scientific discipline. In the 20 plus years since its founding, IBNS has become a hub for the dissemination of new research, development of important research collaborations, support and networking for young investigators, and for outreach and education to the community. This work is covered in part by offering special sessions during the meeting for late-breaking scientific discoveries from a range of disciplines as well as background and seniority level of the presenters. This special issue is a culmination of the late-breaking research presented at the IBNS 2014 meeting. The manuscripts of this Special Issue cover a variety of themes, including, stress, depression, the intersection of monoamine systems and behavior, substance use disorders, attentional processes, and awareness and acceptance of brain training. This wide range of topics and interest as well as range in seniority of presenters demonstrate the driving interest of IBNS in advancing knowledge in behavioral neuroscience as well as supporting scientists at every level.","Animals|Humans|Neurosciences|Research|Societies, Scientific"
26546641,New Tools and Approaches for Family Physicians.,2015-11-08,"This issue of the journal is filled with useful information for practicing family physicians. Several articles introduce new ideas for family physicians to use in the care of their patients, whereas other articles cover new approaches to old problems. Several studies report on procedures performed by family physicians: battlefield acupuncture, colonoscopy, and ultrasound. Some unique alternative care models are described and evaluated. An innovative method of delivering diabetes education seems to work well. Ways to use technology to improve patient care, an update on chronic hepatitis B, and a novel use of social media to understand a rare disease are also included. Readers will come away from this issue with many ideas to consider implementing in their own practices.",Primary Health Care
26535443,Adaptive and innate immune modulators of inflammation and autoimmunity.,2015-11-05,"Both genetic and environmental factors contribute to the pathogenesis of inflammatory and autoimmune diseases. The association of specific major histocompatibility complex (MHC) alleles with susceptibility to particular autoimmune diseases is well known, although the mechanistic aspects of this link are not fully unraveled yet. Furthermore, the prevalence of many autoimmune diseases is much higher in females than in males. Intensive efforts are currently being directed to defining the role of sex hormones, the hypothalamic–pituitary–adrenal (HPA) axis, and other modifying factors in this sexual dimorphism. Among the environmental factors, emerging understanding of the interplay between the gut microbiota and the immune system has opened up a new frontier of biomedical research with a renewed perspective of host-environment interactions. In addition, besides specific T helper subsets and their cytokine products, the roles of the scavenger receptors, the inflammasome, the newer cytokines of the IL-1 (e.g., IL-33, IL-37) and IL-12 (e.g., IL-27, IL-35) families, and the soluble mediators produced by adipocytes (adipokines) (e.g., leptin, adiponectin) in the pathogenesis of inflammation, autoimmunity, and metabolic disorders are increasingly being realized. In this special issue, ""Cytokines in Immune Pathology and Therapy,"" second volume, leading experts have shared their research work and perspectives on the above-mentioned cytokines and other modulators of inflammation and autoimmunity. An outline of 15 articles in volume 2 is presented here. Volume 1 of this special issue containing 14 articles was published recently.","Adaptive Immunity|Autoimmune Diseases|Autoimmunity|Cytokines|Female|Humans|Immunity, Innate|Immunologic Factors|Inflammation|Inflammation Mediators|Major Histocompatibility Complex|Male|Microbiota|Sex Factors"
26522540,Good's Syndrome: Successful Management of Thymoma With Hypoimmunoglobulinemia.,2015-11-03,"We report a case of Good's syndrome managed with surgery and immunotherapy in a 58-year-old man who presented with a left arm skin infection and cough for 2 months. Imaging and laboratory studies revealed a large anterior mediastinal mass and panhypoimmunoglobulinemia, respectively. A biopsy was consistent with thymoma, and a diagnosis of Good's syndrome was established. Thymectomy was followed by intravenous immunoglobulin G and filgrastim with complete recovery through 9 months after discharge. Good's syndrome remains a rare entity often associated with poor prognosis. Adequate surgical resection remains key to outcomes, whereas immunotherapy aids in reducing postoperative complications and may improve survival.","Agammaglobulinemia|Combined Modality Therapy|Filgrastim|Hematologic Agents|Humans|Immunoglobulins, Intravenous|Male|Middle Aged|Syndrome|Thymectomy|Thymoma|Thymus Neoplasms|Tomography, X-Ray Computed"
"26521666
25557513
20824147
11620019
24941737
19266683
19367345
17603655",Introduction: Communicating Reproduction.,2015-11-03,"Communication should be central to histories of reproduction, because it has structured how people do and do not reproduce. Yet communication has been so pervasive, and so various, that it is often taken for granted and the historical specificities overlooked. Making communication a frame for histories of reproduction can draw a fragmented field together, including by putting the promotion of esoteric ideas on a par with other practical activities. Paying communication close attention can revitalize the history of reproduction over the long term by highlighting continuities as well as the complex connections between new technologies and new approaches. Themes such as the power of storytelling, the claiming and challenging of expertise, and relations between knowledge and ignorance, secrecy and propriety also invite further study.","Communication|Europe|History, 15th Century|History, 16th Century|History, 17th Century|History, 18th Century|History, 19th Century|History, 20th Century|History, 21st Century|Humans|Knowledge|North America|Reproduction"
26520390,Editorial.,2015-11-02,"Cancer is a multifaceted disease and research over decades has sequentially broadened our understanding of the mechanisms which underlie its development, progression and resistance against wide ranging molecular therapeutics. Data obtained through in-vitro studies and xenografted mice based investigations clearly suggested that inactivation of tumor suppressor genes, overexpression of oncogenes, imbalance of pro- and anti-apoptotic proteins, loss of apoptosis, dysregulation of spatio-temporally controlled intracellular signaling cascades, epithelial to mesenchymal transition, intra-tumor heterogeneity are significantly involved in regulation of different steps of cancer. Recently emerging information is also shedding light on considerable role of microRNAs in cancer and we have seen an exponential growth in the list of tumor suppressor and oncogenic miRNAs. Amirkhah et al, described how miRNAs regulated resistance mechanisms against different therapeutics in colorectal cancer. Nosheen Masood and Muhammad Zahid Qureshi emphasized on intricate interplay between Notch signaling and different miRNAs in head and neck cancer. Gasparri et al discussed new frontiers in therapeutic targets in ovarian cancer with spotlight on PARP inhibitors. Notch mediated intracellular signaling in esophageal cancer was comprehensively explained by Wang et al. Resistance mechanisms against TRAIL based therapeutics were described in detail by Limami et al. The authors gave opinion about different approaches which have been tested in preclinical trials to overcome resistance against TRAIL. Mansoor et al reported that GG genotype in death receptor 4 played protective role however, CC genotype had a causative role in colorectal cancer in Pakistani population. Larger pool of patients, sporadic mutations, expression studies will further demystify the association. Hsu et al, extensively described various strategies focusing on how post-translationally modifiable histones can be targeted for cancer treatment. Attar et al provided detailed information related to Viscum album against different cancers. Ahmadi et al studied network structure information and biological data on miRNA-and transcription factor-based gene regulation. Apoptotic cell death is a key mechanism frequently inactivated in cancer cells and different strategies have been used to re-activate/functionalize apoptotic pathway in drug resistant phenotype. We have attempted to present most recent landmarks set in cancer biology and therapeutics. Sarkar et al review summarized multifunctional roles of ASPP (apoptosis stimulating proteins of p53) family in cancer. Smina et al reported that Hesperetin, a flavonoid effectively induced apoptosis in skin cancer cell line. Chong et al experimentally verified that lipid accumulation may not only induce pro-inflammatory responses in hepatocytes but also activate CSC-like properties of hepatoma cells through NFκB activation. The present thematic issue brings to limelight most recent advancements in constantly developing field of molecular oncology.","Animals|Apoptosis|Genes, Tumor Suppressor|Humans|MicroRNAs|Neoplasms"
26515381,Introduction: Microbiome in human reproduction.,2015-10-31,"The human microbiome has been termed the ""second human genome"" and data that has come about of late certainly makes it appear every bit as complex. The human body contains 10-fold more microbial cells than the human cells and accounts for 1%-3% of our total body mass. As we learn more about this symbiotic relationship, it appears this complex interaction occurs in nearly every part of the body, even those areas at one time considered to be sterile. Indeed, the microbiome in human reproduction has been investigated in terms of both the lower and upper reproductive tract and includes interactions even at the point of gametogenesis. What is all the more fascinating is that we have known about the importance of microbes for over 150 years, even before they existed in name. And now, with the assistance of an exciting technologic revolution which has pushed forward our understanding of the microbiome, we appear to stand on the precipice of a higher level of understanding of microbes, the biofilms they create, and their impact of health and disease in human reproduction.","Bacteria|Biofilms|Dysbiosis|Female|Fertility|Genitalia|Host-Pathogen Interactions|Humans|Infertility|Male|Microbiota|Reproduction|Reproductive Techniques, Assisted"
26514779,"Comparative toxicity and mutagenicity of soy-biodiesel and petroleum-diesel emissions: overview of studies from the U.S. EPA, Research Triangle Park, NC.",2015-10-31,"Biodiesel use as a fuel is increasing globally as an alternate to petroleum sources. To comprehensively assess the effects of the use of biodiesel as an energy source, end stage uses of biodiesel such as the effects of inhalation of combusted products on human health must be incorporated. To date, few reports concerning the toxicological effects of the emissions of combusted biodiesel or blends of biodiesel on surrogates of health effects have been published. The relative toxicity of the combusted biodiesel emissions compared to petroleum diesel emissions with short term exposures is also not well known. To address the paucity of findings on the toxicity of combusted biodiesel emissions, studies were undertaken at the U.S. Environmental Protection Agency laboratories in Research Triangle Park, North Carolina. The studies used a variety of approaches with nonhuman animal models to examine biological responses of the lung and cardiovascular systems induced by acute and repeated exposures to pure biodiesel and biodiesel blended with petroleum diesel. Effects of the emissions on induction of mutations in bacterial test strains and mammalian DNA adducts were also characterized and normalized to engine work load. The emissions were characterized as to the physicochemical composition in order to determine the magnitude of the differences among the emissions utilized in the studies. This article summarizes the major finding of these studies which are contained within this special issue of Inhalation Toxicology. The findings provided in these articles provide information about the toxicity of biodiesel emissions relative to petroleum diesel emissions and which can be utilized in a life cycle analyses of the effects of increased biodiesel usage.",Animals|Biofuels|Humans|Mutagens|North Carolina|Petroleum|Glycine max|United States|United States Environmental Protection Agency|Vehicle Emissions
"26514350
4895535
26363800
26403244
26429387
23376349
26474787
26386563
26293605
26395902
25757416
26281779
26293606
26363798
26403245
26408292
5799530
26316311
26384818
26363799",Repetitive DNA in eukaryotic genomes.,2015-10-31,"Repetitive DNA--sequence motifs repeated hundreds or thousands of times in the genome--makes up the major proportion of all the nuclear DNA in most eukaryotic genomes. However, the significance of repetitive DNA in the genome is not completely understood, and it has been considered to have both structural and functional roles, or perhaps even no essential role. High-throughput DNA sequencing reveals huge numbers of repetitive sequences. Most bioinformatic studies focus on low-copy DNA including genes, and hence, the analyses collapse repeats in assemblies presenting only one or a few copies, often masking out and ignoring them in both DNA and RNA read data. Chromosomal studies are proving vital to examine the distribution and evolution of sequences because of the challenges of analysis of sequence data. Many questions are open about the origin, evolutionary mode and functions that repetitive sequences might have in the genome. Some, the satellite DNAs, are present in long arrays of similar motifs at a small number of sites, while others, particularly the transposable elements (DNA transposons and retrotranposons), are dispersed over regions of the genome; in both cases, sequence motifs may be located at relatively specific chromosome domains such as centromeres or subtelomeric regions. Here, we overview a range of works involving detailed characterization of the nature of all types of repetitive sequences, in particular their organization, abundance, chromosome localization, variation in sequence within and between chromosomes, and, importantly, the investigation of their transcription or expression activity. Comparison of the nature and locations of sequences between more, and less, related species is providing extensive information about their evolution and amplification. Some repetitive sequences are extremely well conserved between species, while others are among the most variable, defining differences between even closely relative species. These data suggest contrasting modes of evolution of repetitive DNA of different types, including selfish sequences that propagate themselves and may even be transferred horizontally between species rather than by descent, through to sequences that have a tendency to amplification because of their sequence motifs, to those that have structural significance because of their bulk rather than precise sequence. Functional consequences of repeats include generation of variability by movement and insertion in the genome (giving useful genetic markers), the definition of centromeres, expression under stress conditions and regulation of gene expression via RNA moieties. Molecular cytogenetics and bioinformatic studies in a comparative context are now enabling understanding of the nature and behaviour of this major genomic component.","DNA|Eukaryota|Genome|Genomics|Repetitive Sequences, Nucleic Acid"
26497157,Reviving the Louisville Twin Study: An Introduction.,2015-10-27,Researchers who are interested in breathing new life into the long dormant Louisville Twin Study (LTS) presented several papers at the 2015 meeting of the behavior genetics association. This brief introduction provides a short history of the Kentucky LTS as well as synopses of expanded analyses from the presentations on genetic change and continuity in cognitive and behavioral development and those exploring aspects of the influence of gene-environment interaction on cognition.,"Gene-Environment Interaction|Genetics, Behavioral|Humans|Twin Studies as Topic"
"26497020
26407712
26433741
26407708
26410373
26419245
26410372
26452367
26423392
26427370
26423393
26471182
26471181
26407711
26423395
26423391
26419244
26403610
26427371
26407709
26423394",Fate and toxic effects of environmental stressors: environmental control.,2015-10-27,"The potential for toxicants to harm organisms in the environment is influenced by the physicochemistry of the substances and their environmental behaviors and transformation within ecosystems. This special issue is composed of 20 papers that report on studies which have investigated the fate and toxicity of various toxicants including engineered nanoparticles, pharmaceuticals and personal care products, antibiotics, pathogens, heavy metals, and agricultural nutrients. The environmental transformations of these substances and how these processes affect their toxicity are emphasized. This paper highlights the important findings and perspectives of the selected papers in this special edition, with an aim of providing insights into full-scale evaluation on the toxicity of various contaminants that exist in ecosystems. General suggestions are provided for the future directions of toxicological research.","Animals|Bacteria|Environmental Monitoring|Invertebrates|Plants|Vertebrates|Water Pollutants, Chemical"
"26483526
14151401
24101619
10385119
17177182
19405083
9696145
18810512
12029130
17360606
18359504
18032604
19606139
11854536
21357225
25993961
26483538
26483533
26483528
26483527
26483537
26483529
26483534
26483532
26483535
26483531
26483536
26483530
23977365
25793642",Percussive technology in human evolution: an introduction to a comparative approach in fossil and living primates.,2015-10-21,"Percussive technology is part of the behavioural suite of several fossil and living primates. Stone Age ancestors used lithic artefacts in pounding activities, which could have been most important in the earliest stages of stone working. This has relevant evolutionary implications, as other primates such as chimpanzees and some monkeys use stone hammer-and-anvil combinations to crack hard-shelled foodstuffs. Parallels between primate percussive technologies and early archaeological sites need to be further explored in order to assess the emergence of technological behaviour in our evolutionary line, and firmly establish bridges between Primatology and Archaeology. What are the anatomical, cognitive and ecological constraints of percussive technology? How common are percussive activities in the Stone Age and among living primates? What is their functional significance? How similar are archaeological percussive tools and those made by non-human primates? This issue of Phil. Trans. addresses some of these questions by presenting case studies with a wide chronological, geographical and disciplinary coverage. The studies presented here cover studies of Brazilian capuchins, captive chimpanzees and chimpanzees in the wild, research on the use of percussive technology among modern humans and recent hunter-gatherers in Australia, the Near East and Europe, and archaeological examples of this behaviour from a million years ago to the Holocene. In summary, the breadth and depth of research compiled here should make this issue of Philosophical Transactions of the Royal Society B, a landmark step forward towards a better understanding of percussive technology, a unique behaviour shared by some modern and fossil primates.",Animals|Archaeology|Biological Evolution|Fossils|Humans|Primates|Technology|Tool Use Behavior
26479674,Optical design and testing: introduction.,2015-10-21,"Optical design and testing have numerous applications in industrial, military, consumer, and bio-medical settings. This issue features original research ranging from the optical design of image and nonimage optical stimuli for human perception, optics applications, bio-optics applications, displays, and solar energy systems to novel imaging modalities from deep UV to infrared spectral imaging, a systems perspective to imaging, as well as optical measurement. In addition, new concepts and trends for optics and further optical systems will be especially highlighted in this special issue.",Equipment Design|Eye|Humans|Lasers|Light|Optical Devices|Optics and Photonics|Temperature
26478996,Pharmacotherapy for Neurodegenerative Diseases: Are We Approaching the Tipping Point?,2015-10-21,"Neurodegenerative diseases continue to represent major unmet medical and public health needs and will increasingly strain the healthcare system as people live longer due to medical advances in other diseases. Hopefully the emergence of increased understanding of the biology of these conditions coupled with novel clinical pharmacology tools, clinical trial designs, and regulatory innovation will allow the emergence of highly effective symptomatic and disease modifying pharmacotherapies.",Drug Therapy|Health Services Needs and Demand|Humans|Neurodegenerative Diseases
26475446,Introduction.,2015-10-18,"The Japanese Society for Vaccinology (JSV) is an academic organization with approximately 1000 members, who work to combat infectious disease outbreak, to develop vaccines, to look into the basic fundamentals of vaccinology, immunology, and infectious diseases, to clarify the epidemiology, and to produce vaccines. JSV has been established in 1997. Although JSV is still young scientific community in the field of a broad-range vaccinology in Japan, we believe that Japanese scientists in the field of vaccinology have contributed to combating or managing the infectious diseases and promotion of the basic research in vaccinology. Prof. M. Takahashi developed a highly attenuated varicella vaccine in the 1970s. Prof. S. Hashizume developed a highly attenuated smallpox vaccine. The development of these vaccines has contributed not only to reduce the burden of infectious diseases in our society, but also to developing the new vaccines for other infectious diseases in the future. The development of varicella vaccine by Prof. M. Takahashi is one of the great achievements in the vaccinology. We, the JSV members, believe that we need to keep and strengthen the academic activity in the field of vaccinology as we have done before. In this supplement, Special Issue from the Japanese Society for Vaccinology, the manuscripts submitted by the members of JSV, which are partly specific to Japan but contribute to the international society, are published. The contents of the manuscripts are focused on development of new vaccines, epidemiology of vaccine preventable diseases, evaluation of currently used vaccines, and basic vaccinology in Japan.","Communicable Disease Control|History, 20th Century|Humans|Japan|Societies, Scientific|Vaccines"
26474917,Classics revisited. History of reptile placentology: Studiati's early account of placentation in a viviparous lizard.,2015-10-18,"Although placental diversity in mammals received growing attention in the 1600s through the early 1800s, placentation was not documented in reptiles until the mid-19th century. In his classic 1855 study on a viviparous lizard, Cesare Studiati (University of Pisa) described a structural/functional arrangement of fetal and maternal tissues that meets contemporary criteria for recognition of placentation. Through the fortuitous selection of a highly placentotrophic species, Chalcides chalcides, Studiati recognized the functional role of placental tissues in provision of oxygen as well as nutrients. Although Studiati worked in a pre-evolutionary milieu and without the benefits of histological techniques, his findings revealed that viviparous reptiles could exhibit placental specializations that paralleled those of mammals. Accordingly, his classic paper initiated a highly productive body of research that has continued to the present and highlighted specializations of a species that has figured importantly in placental research.","Animals|Female|History, 19th Century|Lizards|Physiology, Comparative|Placentation|Pregnancy|Viviparity, Nonmammalian"
26460709,"Addressing mental health challenges facing the ""Next America"": A call for culture change.",2015-10-16,"Provides an editorial addressing future mental health challenges. The articles in this issue highlight the need to create environments conducive to promoting the well-being of future generations. The articles build on symposia held by the American Orthopsychiatric Association in 2015, which focused on the effects on well-being of changing sociodemographics and labor market trends. Included in these pages are articles that lay out some of the challenges young people today face and strategies for helping them transition to adulthood successfully.",Culturally Competent Care|Humans|Mental Health|United States
"26460123
24876501
26460124
16602825
26460132
26460133
22832582
11141563
18854414
21084351
26460137
26460126
26460127
26460125
26460128
26460130
26460131
26460129
26460136
26460122
24567397
26460134
26460135",Measuring the difference made by conservation initiatives: protected areas and their environmental and social impacts.,2015-10-16,"Success in conservation depends on our ability to reduce human pressures in areas that harbour biological diversity and ecosystem services. Legally protecting some of these areas through the creation of protected areas is a key component of conservation efforts globally. To develop effective protected area networks, practitioners need credible, scientific evidence about the degree to which protected areas affect environmental and social outcomes, and how these effects vary with context. Such evidence has been lacking, but the situation is changing as conservation scientists adopt more sophisticated research designs for evaluating protected areas' past impacts and for predicting their future impacts. Complementing these scientific advances, conservation funders and practitioners are paying increasing attention to evaluating their investments with more scientifically rigorous evaluation designs. This theme issue highlights recent advances in the science of protected area evaluations and explores the challenges to developing a more credible evidence base that can help societies achieve their goals of protecting nature while enhancing human welfare.",Animals|Biodiversity|Conservation of Natural Resources|Ecosystem|Humans|Social Change
26459789,Positive perspectives from proton therapy.,2015-10-16,"In this issue of the Biomedical Journal, we take a look at some of the benefits of proton therapy, which is an emerging technique in cancer treatment and highlight an animal study, showing that a common fruit ripening agent is toxic when used in excessive doses. Finally, this issue includes reports that shed light on the genetics of stroke and childhood leukemia.","Animals|Disease Models, Animal|Humans|Neoplasms|Proton Therapy"
26456235,"Pitheciid research comes of age: Past puzzles, current progress, and future priorities.",2015-10-13,"For a long time, members of the Pitheciidae were among the least studied of all Neotropical primates. But times have changed. Here, we trace the trajectory of this change and show how the articles in this special edition illustrate new knowledge and developments in our understanding of pitheciid ecology, behavior, and conservation. We propose new directions and priorities for future research, especially to ensure the effective conservation of pitheciids, and demonstrate how studies of this family are now the focus of hypothesis-driven research that not only allows the details of this family's biology to be explored, but will allow its biology to be compared with other primate lineages.","Animals|Behavior, Animal|Conservation of Natural Resources|Ecological and Environmental Phenomena|History, 19th Century|History, 20th Century|Pitheciidae|Research"
26455508,Notes towards a 'social aesthetic': Guest editors' introduction to the special section.,2015-10-13,"There is an emerging 'aesthetic turn' within sociology which currently lacks clear focus. This paper reviews the different issues feeding into this interest and contributes to its development. Previous renderings of this relationship have set the aesthetic up against sociology, as an emphasis which 'troubles' conventional understandings of sociality and offers no ready way of reconciling the aesthetic with the social. Reflecting on the contributions of recent social theorists, from figures including Bourdieu, Born, Rancière, Deleuze, and Martin, we argue instead for the value of a social aesthetic which critiques instrumentalist and reductive understandings of the social itself. In explicating what form this might take, the latter parts of the paper take issue with classical modernist conceptions of the aesthetic which continue to dominate popular and sociological understandings of the aesthetic, and uses the motif of 'walking' to show how the aesthetic can be rendered in terms of 'the mundane search' and how this search spans everyday experience and cultural re-production. We offer a provisional definition of social aesthetics as the embedded and embodied process of meaning making which, by acknowledging the physical/corporeal boundaries and qualities of the inhabited world, also allows imagination to travel across other spaces and times. It is hoped that this approach can be a useful platform for further inquiry.",Editorial Policies|Esthetics|Humans|Periodicals as Topic|Social Theory|Sociology
26447639,Editorial: Stem Cell Engineering.,2015-10-09,"In recent years, the promise of stem cells as tools for basic research, in vitro diagnostics, and in vivo therapeutics is increasingly being realized. This Special issue of Biotechnology Journal explores recent advances in the emerging field of stem cell engineering, with a focus on applying engineering approaches to understanding stem cell biology and enabling translation of stem cells to commercial and clinical products.",Biotechnology|Cell Engineering|Humans|Stem Cell Research|Stem Cells
"26447177
23300387
17804059
19806180
24558389
26447174
26447172
23521815
24188964
26447173
24305432
26450582
25847276
26447176
26447171
23741783
26447169
26447178
26447175
26447170",Integration of mental health into primary care in low- and middle-income countries: the PRIME mental healthcare plans.,2015-10-09,"This supplement outlines the development and piloting of district mental healthcare plans from five low- and middle-income countries, together with the methods for their design, evaluation and costing. In this editorial we consider the challenges that these programmes face, highlight their innovations and draw conclusions.","Cooperative Behavior|Delivery of Health Care, Integrated|Developing Countries|Ethiopia|Health Care Costs|Humans|Income|India|Mental Disorders|Mental Health|Mental Health Services|Nepal|Patient Care Planning|South Africa|Uganda|World Health Organization"
26444714,International Barcode of Life: Evolution of a global research community.,2015-10-09,"The 6th International Barcode of Life Conference (Guelph, Canada, 18-21 August 2015), themed Barcodes to Biomes, showcases the latest developments in DNA barcoding research and its diverse applications. The meeting also provides a venue for a global research community to share ideas and to initiate collaborations. All plenary and contributed abstracts are being published as an open-access special issue of Genome. Here, I use a comparison with the 3rd Conference (Mexico City, 2009) to highlight 10 recent and emerging trends that are apparent among the contributed abstracts. One of the outstanding trends is the rising proportion of abstracts that focus upon multiple socio-economically important applications of DNA barcoding, including studies of agricultural pests, quarantine and invasive species, wildlife forensics, disease vectors, biomonitoring of ecosystem health, and marketplace surveys evaluating the authenticity of seafood products and medicinal plants. Other key movements include the use of barcoding and metabarcoding approaches for dietary analyses-and for studies of food webs spanning three or more trophic levels-as well as the spread of next-generation sequencing methods in multiple contexts. In combination with the rising taxonomic and geographic scope of many barcoding iniatives, these developments suggest that several important questions in biology are becoming tractable. ""What is this specimen on an agricultural shipment?"", ""Who eats whom in this whole food web?"", and even ""How many species are there?"" are questions that may be answered in time periods ranging from a few years to one or a few decades. The next phases of DNA barcoding may expand yet further into prediction of community shifts with climate change and improved management of biological resources.","Animals|Biodiversity|DNA Barcoding, Taxonomic|Ecological Parameter Monitoring|Humans"
26439539,Introduction: The role of shame in psychoanalytic theory and practice.,2015-10-07,"Introducing three papers by Leon Wurmser, Claude Janin and John Steiner the author gives an overview of the development of the concept of shame in psychoanalytic theory and practice. Different aspects of the phenomenon of shame are being discussed including its relation to guilt, object relations and identity as well as the role of gaze when emerging from a psychic retreat.",Humans|Psychoanalytic Theory|Psychoanalytic Therapy|Shame
"26438689
26035391
24973746
23616076
24046385
25762569
26438694
26035859
25810455
26438692
25713300
23139354
26398947
26183213
26035862
24609032
24872456
25740330
24396148
26438693
24973750
24973743
26112172
26092526
25056696
23845026
23401516
19146696
26035842
23059428
24795433
26438691
18818629
23828643
22868174
24973744
25650393
26438690
26035393
26438695
24973742",From bench to patient: model systems in drug discovery.,2015-10-07,"Model systems, including laboratory animals, microorganisms, and cell- and tissue-based systems, are central to the discovery and development of new and better drugs for the treatment of human disease. In this issue, Disease Models & Mechanisms launches a Special Collection that illustrates the contribution of model systems to drug discovery and optimisation across multiple disease areas. This collection includes reviews, Editorials, interviews with leading scientists with a foot in both academia and industry, and original research articles reporting new and important insights into disease therapeutics. This Editorial provides a summary of the collection's current contents, highlighting the impact of multiple model systems in moving new discoveries from the laboratory bench to the patients' bedsides.","Animals|Disease Models, Animal|Drug Discovery|Genetic Engineering|Humans|Mice|Models, Biological|Translational Research, Biomedical|Zebrafish"
