id,title,publication_date,abstract,MeSH,Year,Original_Keywords,Mapped_Terms,Scores
26546641,New Tools and Approaches for Family Physicians.,2015-11-08,"This issue of the journal is filled with useful information for practicing family physicians. Several articles introduce new ideas for family physicians to use in the care of their patients, whereas other articles cover new approaches to old problems. Several studies report on procedures performed by family physicians: battlefield acupuncture, colonoscopy, and ultrasound. Some unique alternative care models are described and evaluated. An innovative method of delivering diabetes education seems to work well. Ways to use technology to improve patient care, an update on chronic hepatitis B, and a novel use of social media to understand a rare disease are also included. Readers will come away from this issue with many ideas to consider implementing in their own practices.",Primary Health Care,2016,"Family physicians
New tools
Approaches
Patient care
Alternative care models
Diabetes education
Technology
Chronic hepatitis B
Social media
Rare disease","Family Health
Handbooks
Paint
Medical Staff
Managed Care Programs
Health Education
Technology
Hepatitis B, Chronic
Public Policy
Rare Diseases","0.7722
0.6654
0.7263
0.9605
0.6727
0.6638
1.0000
0.8957
0.8425
0.7166"
26535443,Adaptive and innate immune modulators of inflammation and autoimmunity.,2015-11-05,"Both genetic and environmental factors contribute to the pathogenesis of inflammatory and autoimmune diseases. The association of specific major histocompatibility complex (MHC) alleles with susceptibility to particular autoimmune diseases is well known, although the mechanistic aspects of this link are not fully unraveled yet. Furthermore, the prevalence of many autoimmune diseases is much higher in females than in males. Intensive efforts are currently being directed to defining the role of sex hormones, the hypothalamic–pituitary–adrenal (HPA) axis, and other modifying factors in this sexual dimorphism. Among the environmental factors, emerging understanding of the interplay between the gut microbiota and the immune system has opened up a new frontier of biomedical research with a renewed perspective of host-environment interactions. In addition, besides specific T helper subsets and their cytokine products, the roles of the scavenger receptors, the inflammasome, the newer cytokines of the IL-1 (e.g., IL-33, IL-37) and IL-12 (e.g., IL-27, IL-35) families, and the soluble mediators produced by adipocytes (adipokines) (e.g., leptin, adiponectin) in the pathogenesis of inflammation, autoimmunity, and metabolic disorders are increasingly being realized. In this special issue, ""Cytokines in Immune Pathology and Therapy,"" second volume, leading experts have shared their research work and perspectives on the above-mentioned cytokines and other modulators of inflammation and autoimmunity. An outline of 15 articles in volume 2 is presented here. Volume 1 of this special issue containing 14 articles was published recently.","Adaptive Immunity|Autoimmune Diseases|Autoimmunity|Cytokines|Female|Humans|Immunity, Innate|Immunologic Factors|Inflammation|Inflammation Mediators|Major Histocompatibility Complex|Male|Microbiota|Sex Factors",2016,"Inflammation
Autoimmunity
Major histocompatibility complex (MHC) alleles
Sexual dimorphism
Hypothalamic-pituitary-adrenal (HPA) axis
Gut microbiota
Immune system
T helper subsets
Cytokines
Scavenger receptors
Inflammasome
Adipokines
Leptin
Adiponectin
Cytokines in immune pathology and therapy","Inflammation
Autoimmunity
Major Histocompatibility Complex
Bisexuality
Pituitary Hormones, Anterior
Fusobacteria
Immune System
Th2 Cells
Cytokines
Scavenger Receptors, Class F
Inflammasomes
Adipokines
Leptin
Adiponectin
Cytokinesis","1.0000
1.0000
0.7743
0.7498
0.6710
0.5602
0.9478
0.5941
1.0000
0.7986
0.7018
1.0000
1.0000
1.0000
0.6909"
26522540,Good's Syndrome: Successful Management of Thymoma With Hypoimmunoglobulinemia.,2015-11-03,"We report a case of Good's syndrome managed with surgery and immunotherapy in a 58-year-old man who presented with a left arm skin infection and cough for 2 months. Imaging and laboratory studies revealed a large anterior mediastinal mass and panhypoimmunoglobulinemia, respectively. A biopsy was consistent with thymoma, and a diagnosis of Good's syndrome was established. Thymectomy was followed by intravenous immunoglobulin G and filgrastim with complete recovery through 9 months after discharge. Good's syndrome remains a rare entity often associated with poor prognosis. Adequate surgical resection remains key to outcomes, whereas immunotherapy aids in reducing postoperative complications and may improve survival.","Agammaglobulinemia|Combined Modality Therapy|Filgrastim|Hematologic Agents|Humans|Immunoglobulins, Intravenous|Male|Middle Aged|Syndrome|Thymectomy|Thymoma|Thymus Neoplasms|Tomography, X-Ray Computed",2016,"Good's Syndrome
Thymoma
Hypoimmunoglobulinemia
Surgery
Immunotherapy
Intravenous immunoglobulin G
Filgrastim
Recovery
Adequate surgical resection
Postoperative complications
Improved survival","Hallermann's Syndrome
Thymoma
Immunoglobulins
General Surgery
Immunotherapy
Immunoglobulins, Intravenous
Filgrastim
Recovery Room
Surgical Drapes
Operative Time
Survival","0.6905
1.0000
0.7486
0.9375
1.0000
0.7320
1.0000
0.7867
0.5929
0.8250
0.8387"
"26521666
25557513
20824147
11620019
24941737
19266683
19367345
17603655",Introduction: Communicating Reproduction.,2015-11-03,"Communication should be central to histories of reproduction, because it has structured how people do and do not reproduce. Yet communication has been so pervasive, and so various, that it is often taken for granted and the historical specificities overlooked. Making communication a frame for histories of reproduction can draw a fragmented field together, including by putting the promotion of esoteric ideas on a par with other practical activities. Paying communication close attention can revitalize the history of reproduction over the long term by highlighting continuities as well as the complex connections between new technologies and new approaches. Themes such as the power of storytelling, the claiming and challenging of expertise, and relations between knowledge and ignorance, secrecy and propriety also invite further study.","Communication|Europe|History, 15th Century|History, 16th Century|History, 17th Century|History, 18th Century|History, 19th Century|History, 20th Century|History, 21st Century|Humans|Knowledge|North America|Reproduction",2015,"Communication
Reproduction
Histories
Esoteric ideas
Practical activities
Continuities
New technologies
Storytelling
Expertise
Knowledge
Ignorance
Secrecy
Propriety","Communication
Reproduction
Social Theory
Astronomical Objects
Human Activities
Chicago
Technology
Forecasting
Professional Practice
Knowledge
Book Ornamentation
Chancre
Proprioception","1.0000
1.0000
0.6882
0.5922
0.6721
0.6933
0.8211
0.6072
0.7013
1.0000
0.5799
0.6124
0.7132"
26520390,Editorial.,2015-11-02,"Cancer is a multifaceted disease and research over decades has sequentially broadened our understanding of the mechanisms which underlie its development, progression and resistance against wide ranging molecular therapeutics. Data obtained through in-vitro studies and xenografted mice based investigations clearly suggested that inactivation of tumor suppressor genes, overexpression of oncogenes, imbalance of pro- and anti-apoptotic proteins, loss of apoptosis, dysregulation of spatio-temporally controlled intracellular signaling cascades, epithelial to mesenchymal transition, intra-tumor heterogeneity are significantly involved in regulation of different steps of cancer. Recently emerging information is also shedding light on considerable role of microRNAs in cancer and we have seen an exponential growth in the list of tumor suppressor and oncogenic miRNAs. Amirkhah et al, described how miRNAs regulated resistance mechanisms against different therapeutics in colorectal cancer. Nosheen Masood and Muhammad Zahid Qureshi emphasized on intricate interplay between Notch signaling and different miRNAs in head and neck cancer. Gasparri et al discussed new frontiers in therapeutic targets in ovarian cancer with spotlight on PARP inhibitors. Notch mediated intracellular signaling in esophageal cancer was comprehensively explained by Wang et al. Resistance mechanisms against TRAIL based therapeutics were described in detail by Limami et al. The authors gave opinion about different approaches which have been tested in preclinical trials to overcome resistance against TRAIL. Mansoor et al reported that GG genotype in death receptor 4 played protective role however, CC genotype had a causative role in colorectal cancer in Pakistani population. Larger pool of patients, sporadic mutations, expression studies will further demystify the association. Hsu et al, extensively described various strategies focusing on how post-translationally modifiable histones can be targeted for cancer treatment. Attar et al provided detailed information related to Viscum album against different cancers. Ahmadi et al studied network structure information and biological data on miRNA-and transcription factor-based gene regulation. Apoptotic cell death is a key mechanism frequently inactivated in cancer cells and different strategies have been used to re-activate/functionalize apoptotic pathway in drug resistant phenotype. We have attempted to present most recent landmarks set in cancer biology and therapeutics. Sarkar et al review summarized multifunctional roles of ASPP (apoptosis stimulating proteins of p53) family in cancer. Smina et al reported that Hesperetin, a flavonoid effectively induced apoptosis in skin cancer cell line. Chong et al experimentally verified that lipid accumulation may not only induce pro-inflammatory responses in hepatocytes but also activate CSC-like properties of hepatoma cells through NFκB activation. The present thematic issue brings to limelight most recent advancements in constantly developing field of molecular oncology.","Animals|Apoptosis|Genes, Tumor Suppressor|Humans|MicroRNAs|Neoplasms",2016,"Cancer mechanisms
Tumor suppressor genes
Oncogenes
Apoptosis regulation
Intracellular signaling cascades
Epithelial to mesenchymal transition
Intra-tumor heterogeneity
MicroRNAs in cancer
Notch signaling
PARP inhibitors
TRAIL resistance
Histone modifications
Viscum album
Apoptotic cell death
ASPP family in cancer","Acer
Tumor Suppressor Proteins
Oncogenes
Apoptosis Regulatory Proteins
Intracellular Signaling Peptides and Proteins
Epithelial-Mesenchymal Transition
Graft vs Tumor Effect
MicroRNAs
Receptors, Notch
Phosphodiesterase 5 Inhibitors
Tetracycline Resistance
Histology
Viscum album
Inhibitor of Apoptosis Proteins
src-Family Kinases","0.5666
0.7349
1.0000
0.8150
0.6913
0.8612
0.5239
0.8399
0.6163
0.6184
0.5322
0.6582
1.0000
0.6724
0.5359"
26515381,Introduction: Microbiome in human reproduction.,2015-10-31,"The human microbiome has been termed the ""second human genome"" and data that has come about of late certainly makes it appear every bit as complex. The human body contains 10-fold more microbial cells than the human cells and accounts for 1%-3% of our total body mass. As we learn more about this symbiotic relationship, it appears this complex interaction occurs in nearly every part of the body, even those areas at one time considered to be sterile. Indeed, the microbiome in human reproduction has been investigated in terms of both the lower and upper reproductive tract and includes interactions even at the point of gametogenesis. What is all the more fascinating is that we have known about the importance of microbes for over 150 years, even before they existed in name. And now, with the assistance of an exciting technologic revolution which has pushed forward our understanding of the microbiome, we appear to stand on the precipice of a higher level of understanding of microbes, the biofilms they create, and their impact of health and disease in human reproduction.","Bacteria|Biofilms|Dysbiosis|Female|Fertility|Genitalia|Host-Pathogen Interactions|Humans|Infertility|Male|Microbiota|Reproduction|Reproductive Techniques, Assisted",2016,"Microbiome
Human reproduction
Second human genome
Microbial cells
Symbiotic relationship
Complex interaction
Reproductive tract
Gametogenesis
Technologic revolution
Biofilms
Health and disease","Soil Microbiology
Reproduction
Beginning of Human Life
Microbial Viability
Symbiosis
Double Bind Interaction
Reproductive History
Gametogenesis
Food Technology
Biofilms
Disease","0.7949
0.8421
0.6592
0.6954
0.8063
0.6678
0.7496
1.0000
0.6507
1.0000
0.7659"
26514779,"Comparative toxicity and mutagenicity of soy-biodiesel and petroleum-diesel emissions: overview of studies from the U.S. EPA, Research Triangle Park, NC.",2015-10-31,"Biodiesel use as a fuel is increasing globally as an alternate to petroleum sources. To comprehensively assess the effects of the use of biodiesel as an energy source, end stage uses of biodiesel such as the effects of inhalation of combusted products on human health must be incorporated. To date, few reports concerning the toxicological effects of the emissions of combusted biodiesel or blends of biodiesel on surrogates of health effects have been published. The relative toxicity of the combusted biodiesel emissions compared to petroleum diesel emissions with short term exposures is also not well known. To address the paucity of findings on the toxicity of combusted biodiesel emissions, studies were undertaken at the U.S. Environmental Protection Agency laboratories in Research Triangle Park, North Carolina. The studies used a variety of approaches with nonhuman animal models to examine biological responses of the lung and cardiovascular systems induced by acute and repeated exposures to pure biodiesel and biodiesel blended with petroleum diesel. Effects of the emissions on induction of mutations in bacterial test strains and mammalian DNA adducts were also characterized and normalized to engine work load. The emissions were characterized as to the physicochemical composition in order to determine the magnitude of the differences among the emissions utilized in the studies. This article summarizes the major finding of these studies which are contained within this special issue of Inhalation Toxicology. The findings provided in these articles provide information about the toxicity of biodiesel emissions relative to petroleum diesel emissions and which can be utilized in a life cycle analyses of the effects of increased biodiesel usage.",Animals|Biofuels|Humans|Mutagens|North Carolina|Petroleum|Glycine max|United States|United States Environmental Protection Agency|Vehicle Emissions,2016,"Biodiesel
Petroleum-diesel
Toxicity
Mutagenicity
Emissions
Health effects
Nonhuman animal models
Lung
Cardiovascular system
Acute exposure
Repeated exposure
Physicochemical composition
Life cycle analysis","Biliverdine
Petroleum
Toxicity Tests
Mutagenesis
Respiration
Long Term Adverse Effects
Animal Care Committees
Lung
Cardiovascular System
Occupational Exposure
Occupational Exposure
Physicochemical Processes
Life Cycle Stages","0.6154
0.6923
0.8142
0.9310
0.6638
0.8060
0.6974
1.0000
0.9640
0.7827
0.7933
0.7797
0.8252"
"26514350
4895535
26363800
26403244
26429387
23376349
26474787
26386563
26293605
26395902
25757416
26281779
26293606
26363798
26403245
26408292
5799530
26316311
26384818
26363799",Repetitive DNA in eukaryotic genomes.,2015-10-31,"Repetitive DNA--sequence motifs repeated hundreds or thousands of times in the genome--makes up the major proportion of all the nuclear DNA in most eukaryotic genomes. However, the significance of repetitive DNA in the genome is not completely understood, and it has been considered to have both structural and functional roles, or perhaps even no essential role. High-throughput DNA sequencing reveals huge numbers of repetitive sequences. Most bioinformatic studies focus on low-copy DNA including genes, and hence, the analyses collapse repeats in assemblies presenting only one or a few copies, often masking out and ignoring them in both DNA and RNA read data. Chromosomal studies are proving vital to examine the distribution and evolution of sequences because of the challenges of analysis of sequence data. Many questions are open about the origin, evolutionary mode and functions that repetitive sequences might have in the genome. Some, the satellite DNAs, are present in long arrays of similar motifs at a small number of sites, while others, particularly the transposable elements (DNA transposons and retrotranposons), are dispersed over regions of the genome; in both cases, sequence motifs may be located at relatively specific chromosome domains such as centromeres or subtelomeric regions. Here, we overview a range of works involving detailed characterization of the nature of all types of repetitive sequences, in particular their organization, abundance, chromosome localization, variation in sequence within and between chromosomes, and, importantly, the investigation of their transcription or expression activity. Comparison of the nature and locations of sequences between more, and less, related species is providing extensive information about their evolution and amplification. Some repetitive sequences are extremely well conserved between species, while others are among the most variable, defining differences between even closely relative species. These data suggest contrasting modes of evolution of repetitive DNA of different types, including selfish sequences that propagate themselves and may even be transferred horizontally between species rather than by descent, through to sequences that have a tendency to amplification because of their sequence motifs, to those that have structural significance because of their bulk rather than precise sequence. Functional consequences of repeats include generation of variability by movement and insertion in the genome (giving useful genetic markers), the definition of centromeres, expression under stress conditions and regulation of gene expression via RNA moieties. Molecular cytogenetics and bioinformatic studies in a comparative context are now enabling understanding of the nature and behaviour of this major genomic component.","DNA|Eukaryota|Genome|Genomics|Repetitive Sequences, Nucleic Acid",2016,"Repetitive DNA
Eukaryotic genomes
High-throughput sequencing
Bioinformatics
Chromosomal studies
Satellite DNAs
Transposable elements
Centromeres
Subtelomeric regions
Genomic organization
Sequence variation
Transcription activity
Evolutionary modes
Conservation and variability
Functional consequences","Private Practice
Eukaryotic Cells
High-Throughput Nucleotide Sequencing
Informatics
Chromosomes
DNA, Satellite
DNA Transposable Elements
Centromere
Telomere Shortening
Genomics
Sequence Analysis
Transcription Factors
Evolution, Molecular
Observer Variation
Recovery of Function","0.7036
0.6284
0.6461
0.7173
0.7266
0.8432
0.8636
0.9408
0.6175
0.7552
0.8929
0.8452
0.6573
0.5876
0.6153"
26497157,Reviving the Louisville Twin Study: An Introduction.,2015-10-27,Researchers who are interested in breathing new life into the long dormant Louisville Twin Study (LTS) presented several papers at the 2015 meeting of the behavior genetics association. This brief introduction provides a short history of the Kentucky LTS as well as synopses of expanded analyses from the presentations on genetic change and continuity in cognitive and behavioral development and those exploring aspects of the influence of gene-environment interaction on cognition.,"Gene-Environment Interaction|Genetics, Behavioral|Humans|Twin Studies as Topic",2016,"Louisville Twin Study
Revival
Behavior genetics
Cognitive development
Gene-environment interaction
Presentation
Kentucky
Expanded analysis
Continuity
Influence","Twin Study
Rejuvenation
Behavior
Language Development
Gene-Environment Interaction
Program Development
Kentucky
Conductometry
Continuity of Patient Care
Peer Influence","0.6181
0.6835
0.6702
0.7212
0.9474
0.8772
1.0000
0.6136
0.5646
0.6269"
"26497020
26407712
26433741
26407708
26410373
26419245
26410372
26452367
26423392
26427370
26423393
26471182
26471181
26407711
26423395
26423391
26419244
26403610
26427371
26407709
26423394",Fate and toxic effects of environmental stressors: environmental control.,2015-10-27,"The potential for toxicants to harm organisms in the environment is influenced by the physicochemistry of the substances and their environmental behaviors and transformation within ecosystems. This special issue is composed of 20 papers that report on studies which have investigated the fate and toxicity of various toxicants including engineered nanoparticles, pharmaceuticals and personal care products, antibiotics, pathogens, heavy metals, and agricultural nutrients. The environmental transformations of these substances and how these processes affect their toxicity are emphasized. This paper highlights the important findings and perspectives of the selected papers in this special edition, with an aim of providing insights into full-scale evaluation on the toxicity of various contaminants that exist in ecosystems. General suggestions are provided for the future directions of toxicological research.","Animals|Bacteria|Environmental Monitoring|Invertebrates|Plants|Vertebrates|Water Pollutants, Chemical",2016,"Environmental stressors
Toxic effects
Physicochemistry
Transformation
Ecosystems
Engineered nanoparticles
Pharmaceuticals
Personal care products
Antibiotics
Pathogens
Heavy metals
Agricultural nutrients
Environmental control
Toxicity evaluation
Future directions","Environmental Psychology
Toxicokinetics
Physicochemical Processes
Molecular Conformation
Ecosystem
Nanoparticles
Pharmaceutical Services
Cosmetics
Antibiotics, Antineoplastic
Carcinogens
Metals, Heavy
Agricultural Irrigation
Environment, Controlled
Toxicity Tests
Program Development","0.7221
0.7981
0.7590
0.7654
0.8772
0.7967
0.8664
0.6604
0.7738
0.6767
0.7417
0.6185
0.7948
0.8744
0.6620"
"26483526
14151401
24101619
10385119
17177182
19405083
9696145
18810512
12029130
17360606
18359504
18032604
19606139
11854536
21357225
25993961
26483538
26483533
26483528
26483527
26483537
26483529
26483534
26483532
26483535
26483531
26483536
26483530
23977365
25793642",Percussive technology in human evolution: an introduction to a comparative approach in fossil and living primates.,2015-10-21,"Percussive technology is part of the behavioural suite of several fossil and living primates. Stone Age ancestors used lithic artefacts in pounding activities, which could have been most important in the earliest stages of stone working. This has relevant evolutionary implications, as other primates such as chimpanzees and some monkeys use stone hammer-and-anvil combinations to crack hard-shelled foodstuffs. Parallels between primate percussive technologies and early archaeological sites need to be further explored in order to assess the emergence of technological behaviour in our evolutionary line, and firmly establish bridges between Primatology and Archaeology. What are the anatomical, cognitive and ecological constraints of percussive technology? How common are percussive activities in the Stone Age and among living primates? What is their functional significance? How similar are archaeological percussive tools and those made by non-human primates? This issue of Phil. Trans. addresses some of these questions by presenting case studies with a wide chronological, geographical and disciplinary coverage. The studies presented here cover studies of Brazilian capuchins, captive chimpanzees and chimpanzees in the wild, research on the use of percussive technology among modern humans and recent hunter-gatherers in Australia, the Near East and Europe, and archaeological examples of this behaviour from a million years ago to the Holocene. In summary, the breadth and depth of research compiled here should make this issue of Philosophical Transactions of the Royal Society B, a landmark step forward towards a better understanding of percussive technology, a unique behaviour shared by some modern and fossil primates.",Animals|Archaeology|Biological Evolution|Fossils|Humans|Primates|Technology|Tool Use Behavior,2016,"Percussive technology
Human evolution
Comparative approach
Fossil primates
Living primates
Stone Age ancestors
Lithic artefacts
Pounding activities
Evolutionary implications
Primatology
Archaeology
Anatomical constraints
Cognitive constraints
Ecological constraints
Functional significance","Percussion
Biological Evolution
Comparative Study
Fossil Fuels
Animal Care Committees
Middle Aged
Lithuania
Exercise
Evolution, Molecular
Primates
Archaeology
Anatomists
Cognitive Reserve
Ecological Systems, Closed
Recovery of Function","0.6629
0.7721
0.7142
0.7332
0.6977
0.6395
0.6186
0.6221
0.6901
0.8122
1.0000
0.5658
0.6845
0.6732
0.6199"
26479674,Optical design and testing: introduction.,2015-10-21,"Optical design and testing have numerous applications in industrial, military, consumer, and bio-medical settings. This issue features original research ranging from the optical design of image and nonimage optical stimuli for human perception, optics applications, bio-optics applications, displays, and solar energy systems to novel imaging modalities from deep UV to infrared spectral imaging, a systems perspective to imaging, as well as optical measurement. In addition, new concepts and trends for optics and further optical systems will be especially highlighted in this special issue.",Equipment Design|Eye|Humans|Lasers|Light|Optical Devices|Optics and Photonics|Temperature,2016,"Optical design
Testing
Applications
Industrial
Military
Consumer
Bio-medical
Research
Image optical stimuli
Nonimage optical stimuli
Human perception
Optics applications
Bio-optics applications
Displays
Solar energy systems
Novel imaging modalities
Deep UV spectral imaging
Infrared spectral imaging
Systems perspective
Optical measurement
Concepts
Trends
Optics systems","Optical Processes
Anonymous Testing
Directory
Industrial Development
Military Family
Population
Bioengineering
Research
Photometry
Optical Imaging
Perception
Optical Processes
Optics and Photonics
Portraits
Solar Energy
Technology
Spectrophotometry, Ultraviolet
Spectrophotometry, Infrared
Systems Theory
Optometry
Concept Formation
Patient Rights
Optical Processes","0.8197
0.8090
0.8565
0.8590
0.7927
0.9558
0.6359
1.0000
0.6111
0.5681
0.7951
0.8496
0.6584
0.7151
0.8598
0.5231
0.6717
0.6733
0.7174
0.8158
0.7454
0.6616
0.8439"
26478996,Pharmacotherapy for Neurodegenerative Diseases: Are We Approaching the Tipping Point?,2015-10-21,"Neurodegenerative diseases continue to represent major unmet medical and public health needs and will increasingly strain the healthcare system as people live longer due to medical advances in other diseases. Hopefully the emergence of increased understanding of the biology of these conditions coupled with novel clinical pharmacology tools, clinical trial designs, and regulatory innovation will allow the emergence of highly effective symptomatic and disease modifying pharmacotherapies.",Drug Therapy|Health Services Needs and Demand|Humans|Neurodegenerative Diseases,2016,"Neurodegenerative diseases
Pharmacotherapy
Unmet medical needs
Public health
Healthcare system
Medical advances
Biology of neurodegenerative conditions
Novel clinical pharmacology tools
Clinical trial designs
Regulatory innovation
Symptomatic pharmacotherapies
Disease-modifying pharmacotherapies","Neurodegenerative Diseases
Pharmacology
Medical Assistance
Public Health Practice
Healthcare Disparities
Health Policy
Neurodegenerative Diseases
Technology, Pharmaceutical
Clinical Trial
Professional Practice
Psychiatric Somatic Therapies
Molecular Mechanisms of Pharmacological Action","0.9804
0.8554
0.6619
0.8927
0.8368
0.6777
0.7820
0.5285
0.8483
0.6676
0.6046
0.5754"
26475446,Introduction.,2015-10-18,"The Japanese Society for Vaccinology (JSV) is an academic organization with approximately 1000 members, who work to combat infectious disease outbreak, to develop vaccines, to look into the basic fundamentals of vaccinology, immunology, and infectious diseases, to clarify the epidemiology, and to produce vaccines. JSV has been established in 1997. Although JSV is still young scientific community in the field of a broad-range vaccinology in Japan, we believe that Japanese scientists in the field of vaccinology have contributed to combating or managing the infectious diseases and promotion of the basic research in vaccinology. Prof. M. Takahashi developed a highly attenuated varicella vaccine in the 1970s. Prof. S. Hashizume developed a highly attenuated smallpox vaccine. The development of these vaccines has contributed not only to reduce the burden of infectious diseases in our society, but also to developing the new vaccines for other infectious diseases in the future. The development of varicella vaccine by Prof. M. Takahashi is one of the great achievements in the vaccinology. We, the JSV members, believe that we need to keep and strengthen the academic activity in the field of vaccinology as we have done before. In this supplement, Special Issue from the Japanese Society for Vaccinology, the manuscripts submitted by the members of JSV, which are partly specific to Japan but contribute to the international society, are published. The contents of the manuscripts are focused on development of new vaccines, epidemiology of vaccine preventable diseases, evaluation of currently used vaccines, and basic vaccinology in Japan.","Communicable Disease Control|History, 20th Century|Humans|Japan|Societies, Scientific|Vaccines",2016,"Vaccinology
Japanese Society for Vaccinology
Infectious disease outbreak
Vaccine development
Immunology
Epidemiology
Varicella vaccine
Smallpox vaccine
Academic organization
International society
New vaccines
Basic vaccinology
Epidemiology of vaccine-preventable diseases
Evaluation of currently used vaccines","Vaccines
Japanese Encephalitis Vaccines
Infectious Disease Medicine
Vaccines
Immunotherapy
Epidemiology
Variola virus
Smallpox
Academies and Institutes
Societies, Scientific
Mass Vaccination
Bacterial Vaccines
Bacterial Vaccines
Bacterial Vaccines","0.8910
0.7324
0.7569
0.8333
0.8620
1.0000
0.7022
0.8421
0.7030
0.6965
0.6869
0.7441
0.6040
0.7072"
26474917,Classics revisited. History of reptile placentology: Studiati's early account of placentation in a viviparous lizard.,2015-10-18,"Although placental diversity in mammals received growing attention in the 1600s through the early 1800s, placentation was not documented in reptiles until the mid-19th century. In his classic 1855 study on a viviparous lizard, Cesare Studiati (University of Pisa) described a structural/functional arrangement of fetal and maternal tissues that meets contemporary criteria for recognition of placentation. Through the fortuitous selection of a highly placentotrophic species, Chalcides chalcides, Studiati recognized the functional role of placental tissues in provision of oxygen as well as nutrients. Although Studiati worked in a pre-evolutionary milieu and without the benefits of histological techniques, his findings revealed that viviparous reptiles could exhibit placental specializations that paralleled those of mammals. Accordingly, his classic paper initiated a highly productive body of research that has continued to the present and highlighted specializations of a species that has figured importantly in placental research.","Animals|Female|History, 19th Century|Lizards|Physiology, Comparative|Placentation|Pregnancy|Viviparity, Nonmammalian",2016,"Reptile placentology
Viviparous lizard
Cesare Studiati
Placenta
Mammalian parallels
Histological techniques
Evolutionary milieu
Chalcides chalcides
Placentotrophic species
Nutrient provision
Oxygen supply
Functional role of placental tissues
Species specializations","Reptilian Proteins
Lizards
Social Validity, Research
Placenta
Mammals
Histological Techniques
Evolution, Molecular
Chlorides
Placenta, Retained
Nutritional Support
Oxygen Consumption
Plant Pathology
Species Specificity","0.5549
0.6600
0.5610
1.0000
0.7071
0.9439
0.6522
0.6434
0.6197
0.7405
0.8566
0.4953
0.7734"
26460709,"Addressing mental health challenges facing the ""Next America"": A call for culture change.",2015-10-16,"Provides an editorial addressing future mental health challenges. The articles in this issue highlight the need to create environments conducive to promoting the well-being of future generations. The articles build on symposia held by the American Orthopsychiatric Association in 2015, which focused on the effects on well-being of changing sociodemographics and labor market trends. Included in these pages are articles that lay out some of the challenges young people today face and strategies for helping them transition to adulthood successfully.",Culturally Competent Care|Humans|Mental Health|United States,2016,"Mental health
Future generations
Culture change
Well-being
Sociodemographics
Labor market trends
Young people
Transition to adulthood
Symposium
American Orthopsychiatric Association","Mental Health
Cross Protection
Culture
Personal Satisfaction
Sociological Factors
Economics
Freedom
Young Adult
Meeting Abstracts
Orthopsychiatry","0.9339
0.6527
0.7268
0.6681
0.7685
0.6124
0.9824
0.7315
0.8181
0.6438"
"26460123
24876501
26460124
16602825
26460132
26460133
22832582
11141563
18854414
21084351
26460137
26460126
26460127
26460125
26460128
26460130
26460131
26460129
26460136
26460122
24567397
26460134
26460135",Measuring the difference made by conservation initiatives: protected areas and their environmental and social impacts.,2015-10-16,"Success in conservation depends on our ability to reduce human pressures in areas that harbour biological diversity and ecosystem services. Legally protecting some of these areas through the creation of protected areas is a key component of conservation efforts globally. To develop effective protected area networks, practitioners need credible, scientific evidence about the degree to which protected areas affect environmental and social outcomes, and how these effects vary with context. Such evidence has been lacking, but the situation is changing as conservation scientists adopt more sophisticated research designs for evaluating protected areas' past impacts and for predicting their future impacts. Complementing these scientific advances, conservation funders and practitioners are paying increasing attention to evaluating their investments with more scientifically rigorous evaluation designs. This theme issue highlights recent advances in the science of protected area evaluations and explores the challenges to developing a more credible evidence base that can help societies achieve their goals of protecting nature while enhancing human welfare.",Animals|Biodiversity|Conservation of Natural Resources|Ecosystem|Humans|Social Change,2016,"Conservation initiatives
Protected areas
Environmental impacts
Social impacts
Human pressures
Biological diversity
Ecosystem services
Scientific evidence
Evaluation designs
Conservation funders
Practitioners
Credible evidence
Societal goals
Human welfare","Fund Raising
Cross Protection
Environmental Health
Health Impact Assessment
Hydrostatic Pressure
Biodiversity
Ecosystem
Evidence-Based Medicine
Evaluation Studies
Fund Raising
National Practitioner Data Bank
Evidence-Based Medicine
Societies
Animal Welfare","0.6824
0.7412
0.7229
0.7852
0.8209
0.7331
0.7167
0.6989
0.7730
0.7562
0.6999
0.7164
0.6864
0.8442"
26459789,Positive perspectives from proton therapy.,2015-10-16,"In this issue of the Biomedical Journal, we take a look at some of the benefits of proton therapy, which is an emerging technique in cancer treatment and highlight an animal study, showing that a common fruit ripening agent is toxic when used in excessive doses. Finally, this issue includes reports that shed light on the genetics of stroke and childhood leukemia.","Animals|Disease Models, Animal|Humans|Neoplasms|Proton Therapy",2016,"Proton therapy
Cancer treatment
Animal study
Fruit ripening agent
Toxicity
Excessive doses
Genetics
Stroke
Childhood leukemia","Proton Therapy
Cancer Care Facilities
Clinical Study
Fruit
Toxicity Tests
Maximum Tolerated Dose
Genetics
Stroke
Leukemia","0.7809
0.5910
0.8794
0.6087
0.8142
0.6544
1.0000
1.0000
0.7328"
